answer,candidate_generation_ms,certification_ms,regular_ms,strong_ms,quality_gates_ms,validator_ms,reserve_ms,total_ms
WATERMELON,1152.573245,1120.6759170000003,13932.006085,4722.65185,0,1539.722769999998,0,21346.959561
OSCILLATED,998.092834,978.6279940000001,14118.526965,4601.791727,0,1468.1050509999995,0,21186.519958
ABANDONING,1046.877481,1044.6758969999998,14474.992903,4767.713749,0,1577.2230889999996,0,21866.810117
ABSOLUTELY,1054.767005,1052.6289230000002,14368.05442,4755.94143,0,1529.454993,0,21708.221226
ACCESSIBLE,1023.611367,1021.225769,13939.938834,4411.139506,0,1435.740087999999,0,20810.432778
ACCOUNTING,1117.706705,1115.3993249999999,14674.465464,4772.849787,0,1489.1268400000004,0,22054.151792
ADVENTURES,1084.395712,1082.07123,14535.558628,5016.864341,0,1473.5287749999984,0,22110.350284
AGGRAVATED,1028.717096,1026.328081,14471.625863,4603.681431,0,1580.9221850000024,0,21684.948571
AFTERTASTE,1115.219274,1112.996854,14693.73825,4856.133587,0,1634.8604380000006,0,22299.953457
AFFORDABLE,1012.188025,1009.9498150000001,14905.100737,4770.018977,0,1535.7358859999981,0,22223.045973
ABATEMENTS,1088.79291,1086.910944,14419.705477,4816.686915,0,1547.877504000002,0,21873.064911
ABDICATING,1084.115233,1082.0784600000002,14882.041723,5035.636518,0,1566.9656569999984,0,22568.761223
ABDUCTIONS,1054.682427,1051.2344329999999,14505.336491,4906.449232,0,1524.0804590000014,0,21990.550692
ABHORRENCE,1035.385483,1033.3839449999998,14600.907693,4571.90223,0,1539.2293559999998,0,21747.426754
ABOLISHING,976.876232,974.872524,14720.805566,4682.778935,0,1466.2270699999995,0,21846.690087
ABROGATING,979.11097,977.028843,14709.996184,4787.741473,0,1498.801510000001,0,21975.65253
ABSOLUTISM,1016.558363,1014.501566,14610.19629,5037.865131,0,1512.831970000002,0,22177.453809
ABSOLUTIST,1100.37186,1098.311132,15180.194871,5047.051002,0,1776.1034209999991,0,23103.722921
ABSORPTION,1171.230808,1169.225637,14012.503448,4945.33605,0,1655.3687039999988,0,21784.441027
ABSTAINING,1083.655704,1081.801447,14773.019446,5346.405403,0,1701.9177970000017,0,22905.000467
ABSTENTION,1362.868955,1360.9700090000001,16173.90254,5235.087542,0,1605.1083420000023,0,24376.969256
ABSTINENCE,1000.733917,998.9426030000001,15534.98207,4895.727779,0,1455.682784000001,0,22887.128962
ABYSSINIAN,1078.278096,1076.364493,15317.13108,4933.436743,0,1546.0860460000004,0,22874.93703
ACCELERANT,1052.335765,1050.5083009999998,15061.771412,5095.137343,0,1536.388874,0,22745.63536
ACCEPTABLE,1035.085374,1033.276492,15090.904858,4918.799365,0,1525.6653020000006,0,22570.45708
ACCIDENTAL,1086.994127,1085.189468,15175.388568,4971.202516,0,1560.5647959999997,0,22794.15547
ACCLAIMING,954.298009,952.3841130000002,14517.563554,4551.072386,0,1462.5461699999996,0,21485.482698
ACCLIMATED,1129.499977,1127.68478,15528.341286,5337.849323,0,1628.943706999998,0,23624.636545
ACCORDIONS,1096.961965,1095.1604439999999,15439.615792,5076.348996,0,1572.9681699999996,0,23185.896796
ACCOUNTANT,1137.32432,1135.5307890000001,15567.250878,5219.917316,0,1615.5437590000008,0,23540.039137
