date,primary_hash,backup1_hash,backup2_hash,status,validator_pass,frozen,policy_version
2032-04-01,72dcf62c813e0bdcc2e4d47fc37a6ae816c28eb33b1bd3f379a7889cdfdf1554,QDTBXK/LSWNVR/LLDCNR/YSHNML/GDTZWR/PNMHTR/SFVJGF/YTCPSB,NWYTTB/NYXDQV/LSHDJM/BNLDZG/RFLGPC/SRMNFS/HTCRPL/KRWVTS,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-02,d0dd3cf7994996112b79d51bbc7ed9cfc6b5ed7c862f0d28286a814c6370f58e,XQPDRC/SHWLYT/SDNPLN/WKRVVJ/TYFRBM/FRNLTD/SHSCLZ/NBGGTM,CHSGLD/JTXCSL/PBSVTN/MBNWDY/WRRDRF/PKLYNH/VRZGQL/MSFTNT,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-03,e91ff52c9c51282fc7d6c161956bf3bf989bc31e6947144986b6fc7fe2454418,FBXYZL/STNWST/GPWDJL/HLYLMR/QFVVRT/PHMCDS/TRGNDB/SKRNCN,DNHLZS/BNRLCJ/VSNGTK/RPBGWM/NMRYYV/FSTDHT/FSCWDR/PLQXLT,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-04,b0ef84f37122ef3ad0f771d083bcc596146915d0c634632347e1193045dacdc0,YGHDQC/LTBMRS/LSXCWT/NYDKSW/NRLPTZ/FNBPNS/LHTRVG/VFRJDM,RXDMDL/RFVTLT/JCQRGZ/HWSYNG/VFNSBP/KTPLMR/DNHLTB/SSWNYC,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-05,8684feddd15794774d5660209ab501e36f7cf428a861776663d562f0f29d14bc,TDZGQP/TJPKGS/VTWLFM/LXRYRW/MNRYND/TVRSHL/NNDFHC/LBSSCB,FNRTLL/GDTSBR/NPHWSC/VMYMCN/NFHQST/LRBLTP/VDJZWY/GKDXRS,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-06,d383d7fb6791738eca67d09d6aab024a861713ed9148cdfb14a92ec292d5faa9,FTBCCT/TSJLNN/RLDSGZ/YFGKLV/DQRPVL/MWSWNH/MRPDSH/YNTBRX,DTFTBG/WJHLKN/FPQSTR/RSSRLN/XLDGWC/MSVYTC/DLBPHZ/NMNRYV,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-07,e7f57318649d031192827ba10029efe9bd26b3e5c401d974e0c803eb323e60a2,XRVDWL/SNTRHD/SFTLPB/TLFSLV/RNYCGB/RNMJCN/QZYDKS/GMPHTW,HPNXCS/LNTBKQ/DVRRLR/BSCDSS/WJLVFN/HNYLMT/GTZFTD/PGRWYM,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-08,7e73e863cb7699ed71385448e572a7039bdf886ae95c099ffda948f17b9a609f,TGVHNQ/RGSFPW/TVBMCB/DCYKRD/PNTWLZ/SLDRXN/RYSLTS/NJLMFH,VTDSZF/RGGHST/BCQYNP/DRPBWL/YTWSHL/VCMLTD/NKLFRX/JNRNMS,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-09,898c82ab742af04a69b3496904a5b7b4e1f591d4cc33f7a00e8b28f7f9e5a99d,XZDPCN/CWNYDR/KYJMSM/GLVFTF/TRTRNS/HLRBGT/LWQSSP/VHNDLB,LMPDCZ/PTSYCR/SXNHTF/WMHVRN/DNKTDL/QVSBLR/JTYSWN/GBRLFG,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-10,2cce82dd42f505e6bf09a6920f3c5c96320ec07dfe95813f45abcf0bdec238cb,LWJGGC/WMSBLK/RXNLVY/MVHTTC/TYSHFD/SNNDRF/QSZLPR/PNTRBD,NHNRHX/YRGGPK/MWSDTS/LCTDTV/MBJWRP/CDNLZT/FRBLVQ/FYSSNL,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-11,cbe741d8de50080f44a08eac254efb3d2c8158519e07996e59863a18714529bc,VXBTNS/LGWRMT/PRSMDC/RLNWFG/HRVLYT/HCTQLN/PJDDFB/NSKSZY,YCHSTX/BDGNLN/NFTTMG/RVSBQZ/WTLVPR/WFSYKL/RMPSCR/DHLJDN,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-12,480e5b59dc62e375e73398072191a3ded102f6a143a5bf582c7282a463339baf,SMFPHG/TLZTNF/GSRTCL/YYSVND/DNRLBH/KBMDPW/VRJRQS/TNLWCX,STRFPL/JPBRLL/SYSFWW/NDGNNK/BNCLTC/RTSHVD/QXMTZG/DYHRVM,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-13,d8aa180f40426c2243c549f8e0c207ccd321d11020e3088012d6131747173c64,VTDRTT/MPGHRJ/CLLVSY/DPQNHW/RLWFBF/MXBYDL/SNGCRS/SNTNKZ,QRGWMT/RFYTNS/RBLMDV/YPLNNH/XVZLLP/GSHNTJ/RCSTBC/WSKFDD,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-14,4f36d07d9872fd42bc586cf6179d8732a1d0c502a8f7dd2cfeaf51720481295c,YNPNRN/TTLLSF/JKGDFT/XVTDZL/CNSVQS/MDRBMY/SGHRRL/CWBHWP,VNFNTW/RYTSJS/QYRWMP/VMPTDL/LSHRNF/CLBRCG/NLHTBS/DDKGXZ,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-15,11966a9d8caa97eb13d9c776bbaa11595950940c9417a7e1b707b460b42a8b43,RTXVNL/STPFRM/CLFBDS/VWQKHD/YRMCDB/ZTLNGL/YJWPSN/TGRNSH,YMDCSF/FLHPJR/NBSWKT/LYLHNG/GQBXNL/TSNSZD/TVRRMP/CRDTVW,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-16,278d7ac75b8ccf1701c05e1be0966990212468b3b154a131cbbf446645024774,RQDXRG/TPLSNT/WYYTBS/WLBGFV/SVRMCD/HRPLTF/MHCJND/LNKSNZ,TFTDDW/VLJNGS/YHTNMS/HRWGLK/SRRCXY/BLBZRP/TDQLPN/NMSVFC,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-17,5ef34ded4bdbb8adaef34dcddbf3787dbee3dec8de7a68bafd85546ac81bc40b,GHCTYR/LPLWSW/LSJXZC/BTSKNT/NNGMTV/HBFDMP/SDFVRR/DRNQYL,TBGLCF/LNSTJV/DCFBSG/TTLRMS/LHSRXY/VKDPWN/ZMWDRQ/NYNRHP,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-18,59f816fb6b00cb4f1165ed08516bf26989d4ab6f0cdb11c812272a39de458358,LJQNGW/DPLNFR/ZBYKPR/GTSHTV/CCNNSY/BTRHDF/STSVWD/MLLMRX,ZHNLNR/CTMGVF/DPYRYD/LTRDKQ/CHSNSG/WMWXTT/BSFBVL/LRPJSN,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-19,34710a9ab1e00f6ea43c24cbc11a7d08de0df05c5b8b83d5719fb4b7b9cfa063,VJZSFS/BNDRMH/TPLWLP/NRGDQR/XSTSYC/NBMGCR/YLKLHV/NFDTTW,NTNGTN/PWPSXV/ZHRNBF/SSTTBL/FCYLLM/SDGYLR/QDJHMR/VCRDKW,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-20,159f9c9f0bcbe7bcf44f1e617cb26796a1bce741f58a3d0ed18282f3f87b9308,SBNRTL/CLGDQK/SNNPVR/TBRDPN/WMLSCV/DHSYLY/ZFTXTH/FGJRWM,ZCRLRH/LBDYTP/DMLNBS/WNWSTN/LYFGNG/JTKRVP/XFQCVT/HSDSMR,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-21,54d92d90f5d063a98cc159a6193037879a3e1a62d2551aa200f2a23e7b0d8dd9,ZGPDRN/HHLVQS/SSMRML/BTWCDS/NYLTVR/TKDRNF/PNWXYJ/TLCFBG,RVLSQX/JDLZHB/NPSHND/BWRMDC/SPNRLK/TTGTYL/RNMWGY/FVCFTS,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-22,bc76f50a8d073a83799a4a28ef00d9168332005b167da19bc4400cf8277f3a93,SHHPTK/FSNFGQ/LBSWNL/YMGTNC/VZRPTD/SDTVWR/CLXRLB/JDNYRM,JMYLHC/NMQRRD/KSHWDR/SWLZRT/PTFPDX/FLBGVS/NLVTSG/CNNBYT,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-23,edfd05ad654fe4bf9cc9800d07bc1a3b24b1ce06d4f35b6c589244c677fb1495,KTFNTG/PCLBHV/LSYHMM/NSNDRX/NRSVPW/WJCRRZ/YLTGDS/QBTLFD,SNRNTK/SMNCRD/BYSDWJ/TRHVGG/CMVLSD/ZYLLPH/TRNPWX/QTFFBL,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-24,67c30bfb25e021e1d57d4be32cddb64eca4dbd882708628f9d4a758966b816b2,DNNSTY/WBHFSB/DVLMNQ/XCJYLS/RCGPDR/LZNHLM/PRTRTV/WGSTKF,MTLSSD/HTSQJN/BBYLVF/YKPWLG/TNRGPN/FNTDMH/XRCRVS/DLCWRZ,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-25,e66557d0bd9f5bf5f735465c0387334bb8b7054084f94e1aa007cf4d07ff4935,FSHLKL/SRDRBS/LVTXNL/JNYNBD/WSRCTF/MZCPQR/WTPNTY/GHMDGV,BLLGFM/TSCRYV/PCNWHN/YSZKVW/TQLFRR/DLHRJG/DDXNTN/PSSBTM,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-26,854dbd3ad11c244f5a9209708283e37bbb43013e226dde1c863946ff7784e8e9,RVLRSV/FJDDCP/HWLDNC/RTWTSX/BQTYNG/MNFNRZ/YGSKPL/LBMHST,VRJKWG/SBPQMT/DRRHWN/NTVZGL/LNTFPX/RDYBYD/LCLSFN/CMHSST,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-27,05f3bb5aa5fd48cd84ae7127ba64191e9157400866acf0bd0679d7cddef2747d,NMCRWN/GLCBST/SWRLYX/FFVVNY/TTPBHR/DHTSLQ/DRKSJD/PGLNMZ,HTGPDL/FFSMCD/RDKLCJ/RBVXMT/WNYBGN/YRNSQH/LVWTLS/PSZTNR,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-28,300873c21a7507a3e236b1bd6e814403da72adf8aacaaedcadccc8f577c58349,GVHWSN/TVKTZL/RYPRYX/FLGDSW/PBTRLS/HMDCCN/MNLDTR/BSFQNJ,TQSGKS/LDSPGW/LTCNLR/MCDRNT/DWLNRJ/PBSNTV/YMFYHB/VHFRZX,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-29,e3b0ca92d1acba3ac7ef91810c51af9fc4a285ccc32035bc5fe30a0c7b0d6826,VHTRLR/QGTRSW/TSNPLX/PBYJDY/WNDLHK/VSCRZL/GFFCDS/TBMMNN,RNPLDR/RHKSTS/GMSHCP/NDWCRD/XBGWSN/LTNLLF/YFJBVT/TYMQZV,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
2032-04-30,7ad3825ff7fcf6c8016190491d41b7dbf17d497db384d3237b3cd9b639407dd1,STPWPS/DRZKNR/WBLFRF/VDQGSR/GMYTDT/YJLCCN/XLMVTN/HLBNSH,HFSKQZ/VYTYRS/NPDSBD/DNTLGP/CTNMRJ/RCVRNB/FWSXLL/LMWHTG,AUTO_PUBLISH_ELIGIBLE,true,false,m10.0
