answer,primary_available,backup1_available,backup2_available,eligible_candidate_count,regeneration_rounds,final_status
WATERMELON,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
OSCILLATED,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABANDONING,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABSOLUTELY,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCESSIBLE,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCOUNTING,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ADVENTURES,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
AGGRAVATED,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
AFTERTASTE,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
AFFORDABLE,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABATEMENTS,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABDICATING,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABDUCTIONS,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABHORRENCE,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABOLISHING,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABROGATING,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABSOLUTISM,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABSOLUTIST,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABSORPTION,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABSTAINING,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABSTENTION,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABSTINENCE,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ABYSSINIAN,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCELERANT,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCEPTABLE,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCIDENTAL,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCLAIMING,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCLIMATED,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCORDIONS,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
ACCOUNTANT,true,true,true,3,0,AUTO_PUBLISH_ELIGIBLE
