operation,iterations,median_ms,p90_ms,p99_ms
today lookup,1,34.630277,34.630277,34.630277
today lookup,1,9.971075,9.971075,9.971075
today lookup,1,9.959707,9.959707,9.959707
today lookup,1,9.323109,9.323109,9.323109
today lookup,1,15.331234,15.331234,15.331234
today lookup,1,10.801295,10.801295,10.801295
today lookup,1,7.572878,7.572878,7.572878
today lookup,1,10.39666,10.39666,10.39666
today lookup,1,10.055177,10.055177,10.055177
today lookup,1,10.102266,10.102266,10.102266
today lookup,1,11.672768,11.672768,11.672768
today lookup,1,9.504861,9.504861,9.504861
today lookup,1,10.700929,10.700929,10.700929
today lookup,1,9.930487,9.930487,9.930487
activation,20,4.75833,6.504332,6.964656
backup promotion,20,2.215643,3.309262,3.828604
catalog reload,20,0.014551,0.027808,0.145929
archive lookup,20,1.262377,1.397119,1.421679
