strategy,answer,seed,ok,unique_words,unique_masks,short_word_pct,long_words,max_first_score,high_value_first_moves,gold_score,gold_turns,gold_without_hexalink,gold_with_hexalink_required,gold_viable_first_moves,gold_viable_first_move_pct,tile_participation_min,tile_participation_max,tile_participation_spread,hexalink_direction_changes,analysis_ms
RANDOM_BASELINE,WATERMELON,123456,true,5641,1642,9.52,1432,30,231,110,5,true,true,15,100,13,1329,1316,4,1687.016
COMMON_CONSONANT_CLUSTERED,WATERMELON,123456,true,6919,3171,7.747,2306,30,996,100,4,true,true,15,100,7,3067,3060,4,2623.938
COMMON_CONSONANT_DISPERSED,WATERMELON,123456,true,5546,1777,9.881,1349,30,307,105,5,true,true,15,100,36,1763,1727,4,1306.987
RARE_LETTER_SEPARATED,WATERMELON,123456,true,6327,2360,8.124,1894,30,502,150,5,true,true,15,100,12,1919,1907,4,1781.398
HEXALINK_CENTRIC,WATERMELON,123456,true,5532,2390,9.002,1566,30,605,110,5,true,true,15,100,6,2554,2548,4,1568.773
HEXALINK_ISOLATED,WATERMELON,123456,true,4998,1755,10.704,1025,30,231,110,5,true,true,15,100,25,2514,2489,4,1479.568
DEGREE_BALANCED,WATERMELON,123456,true,6925,3269,7.942,2195,30,826,120,5,true,true,15,100,22,3482,3460,4,2382.049
HIGH_VALUE_PATH_SUPPRESSED,WATERMELON,123456,true,5291,1770,10.112,1241,30,271,120,5,true,true,15,100,51,2006,1955,4,1327.065
RANDOM_BASELINE,OSCILLATED,234567,true,6249,2157,8.673,1696,30,442,105,5,true,true,15,100,6,2253,2247,3,1513.315
COMMON_CONSONANT_CLUSTERED,OSCILLATED,234567,true,6144,3452,8.285,1891,30,1051,120,5,true,true,15,100,10,3650,3640,2,2201.023
COMMON_CONSONANT_DISPERSED,OSCILLATED,234567,true,5840,2341,9.024,1719,30,575,100,5,true,true,15,100,18,2255,2237,2,1751.386
RARE_LETTER_SEPARATED,OSCILLATED,234567,true,7120,2202,7.809,2007,30,386,100,4,true,true,15,100,15,2192,2177,4,1527.304
HEXALINK_CENTRIC,OSCILLATED,234567,true,6646,3251,7.689,2145,30,904,100,4,true,true,15,100,7,3649,3642,2,2299.266
HEXALINK_ISOLATED,OSCILLATED,234567,true,7306,2416,7.706,2092,30,591,110,5,true,true,15,100,17,2413,2396,3,1659.441
DEGREE_BALANCED,OSCILLATED,234567,true,8504,4279,5.962,3256,30,1407,100,4,true,true,15,100,16,4333,4317,3,3065.355
HIGH_VALUE_PATH_SUPPRESSED,OSCILLATED,234567,true,5785,1950,9.749,1406,30,315,110,5,true,true,15,100,30,2078,2048,2,1460.227
RANDOM_BASELINE,ABANDONING,345678,true,5624,2265,9.353,1519,30,493,100,4,true,true,15,100,18,3366,3348,4,1528.518
COMMON_CONSONANT_CLUSTERED,ABANDONING,345678,true,6932,2877,7.429,2410,30,805,110,5,true,true,15,100,25,2891,2866,4,1761.963
COMMON_CONSONANT_DISPERSED,ABANDONING,345678,true,6282,2162,8.628,1685,30,352,110,5,true,true,15,100,36,2329,2293,4,1423.538
RARE_LETTER_SEPARATED,ABANDONING,345678,true,6192,2676,8.366,1731,30,627,110,5,true,true,15,100,18,3076,3058,4,1957.337
HEXALINK_CENTRIC,ABANDONING,345678,true,7117,3158,6.857,2384,30,912,110,4,true,true,15,100,22,3235,3213,3,2070.262
HEXALINK_ISOLATED,ABANDONING,345678,true,6511,2087,8.248,1862,30,442,110,5,true,true,15,100,27,2464,2437,4,1755.439
DEGREE_BALANCED,ABANDONING,345678,true,6682,3968,7.558,2320,30,1290,110,5,true,true,15,100,8,4882,4874,4,2750.511
HIGH_VALUE_PATH_SUPPRESSED,ABANDONING,345678,true,4727,1585,11.254,1017,30,237,105,5,true,true,15,100,27,1481,1454,4,1313.62
