curve,x,gold_capable_pct,gold_without_hexalink_pct,median_turns
threshold,100,100,100,2
threshold,110,100,100,2
threshold,120,100,100,2
threshold,130,100,100,2
threshold,140,100,100,3
threshold,150,100,100,3
hexalink_bonus,0,100,100,2
hexalink_bonus,10,100,100,2
hexalink_bonus,15,100,100,2
hexalink_bonus,20,100,100,2
hexalink_bonus,25,100,100,2
hexalink_bonus,30,100,100,2
vocabulary,ALL,100,100,2
vocabulary,TOP_30000,100,100,2
vocabulary,TOP_20000,100,100,2
vocabulary,TOP_15000,100,100,2
vocabulary,TOP_10000,100,100,2
vocabulary,TOP_5000,100,100,2
