answer,seed,strategy,threshold,exact,status,goldReachable,minimumGoldTurns,solverElapsedMs,statesExplored,statesPruned,memoHits
WATERMELON,810001,M6_BASELINE,100,true,reachable,true,5,107.937,6,0,0
WATERMELON,810001,M6_BASELINE,110,true,reachable,true,5,109.008,6,0,0
WATERMELON,810001,M6_BASELINE,120,true,reachable,true,6,109.939,7,0,0
WATERMELON,810001,M6_BASELINE,130,true,reachable,true,6,114.384,7,0,0
WATERMELON,810001,M6_BASELINE,140,true,reachable,true,6,671.956,13910,0,0
WATERMELON,810001,M6_BASELINE,150,false,timeout,null,,1503.624,,,
WATERMELON,810001,M6_BASELINE,160,false,timeout,null,,1501.711,,,
WATERMELON,810001,M6_BASELINE,170,false,timeout,null,,1503.488,,,
WATERMELON,810001,M6_BASELINE,180,false,timeout,null,,1501.506,,,
WATERMELON,810001,M6_BASELINE,200,false,timeout,null,,1500.733,,,
OSCILLATED,810002,M6_BASELINE,100,true,reachable,true,5,98.858,6,0,0
OSCILLATED,810002,M6_BASELINE,110,true,reachable,true,6,81.993,7,0,0
OSCILLATED,810002,M6_BASELINE,120,true,reachable,true,6,77.187,7,0,0
OSCILLATED,810002,M6_BASELINE,130,true,reachable,true,6,76.887,20,0,0
OSCILLATED,810002,M6_BASELINE,140,true,reachable,true,6,77.346,92,0,0
OSCILLATED,810002,M6_BASELINE,150,false,timeout,null,,1502.336,,,
OSCILLATED,810002,M6_BASELINE,160,false,timeout,null,,1502.037,,,
OSCILLATED,810002,M6_BASELINE,170,false,timeout,null,,1500.621,,,
OSCILLATED,810002,M6_BASELINE,180,false,timeout,null,,1504.325,,,
OSCILLATED,810002,M6_BASELINE,200,false,timeout,null,,1501.108,,,
ABANDONING,810003,M6_BASELINE,100,true,reachable,true,5,130.241,6,0,0
ABANDONING,810003,M6_BASELINE,110,true,reachable,true,5,160.537,6,0,0
ABANDONING,810003,M6_BASELINE,120,true,reachable,true,6,137.741,7,0,0
ABANDONING,810003,M6_BASELINE,130,true,reachable,true,6,133.896,7,0,0
ABANDONING,810003,M6_BASELINE,140,true,reachable,true,6,132.63,7,0,0
ABANDONING,810003,M6_BASELINE,150,true,reachable,true,6,138.67,280,0,0
ABANDONING,810003,M6_BASELINE,160,false,timeout,null,,1502.432,,,
ABANDONING,810003,M6_BASELINE,170,false,timeout,null,,1503.117,,,
ABANDONING,810003,M6_BASELINE,180,false,timeout,null,,1500.732,,,
ABANDONING,810003,M6_BASELINE,200,false,timeout,null,,1503.392,,,
ABSOLUTELY,810004,M6_BASELINE,100,true,reachable,true,5,91.443,6,0,0
ABSOLUTELY,810004,M6_BASELINE,110,true,reachable,true,6,94.956,7,0,0
ABSOLUTELY,810004,M6_BASELINE,120,true,reachable,true,6,93.801,7,0,0
ABSOLUTELY,810004,M6_BASELINE,130,true,reachable,true,6,92.106,8,0,0
ABSOLUTELY,810004,M6_BASELINE,140,true,reachable,true,6,105.948,348,0,0
ABSOLUTELY,810004,M6_BASELINE,150,true,reachable,true,6,107.433,348,0,0
ABSOLUTELY,810004,M6_BASELINE,160,true,reachable,true,6,1433.915,29835,42,1
ABSOLUTELY,810004,M6_BASELINE,170,false,timeout,null,,1500.53,,,
ABSOLUTELY,810004,M6_BASELINE,180,false,timeout,null,,1500.355,,,
ABSOLUTELY,810004,M6_BASELINE,200,false,timeout,null,,1501.112,,,
ACCESSIBLE,810005,M6_BASELINE,100,true,reachable,true,5,93.189,6,0,0
ACCESSIBLE,810005,M6_BASELINE,110,true,reachable,true,5,92.184,6,0,0
ACCESSIBLE,810005,M6_BASELINE,120,true,reachable,true,6,98.932,7,0,0
