answer,candidate_index,candidate_seed,hard_gate_status,canonical_min_gold_turns,shortlisted,selected,highest_proven_reachable_threshold,first_proven_unreachable_threshold,headroom_lower_bound,gold_without_hexalink,unique_tile_masks,tile_participation_spread,hexalink_participation_pct
WATERMELON,0,1500921837,accepted,5,true,true,140,,40,true,1782,1464,0.011
WATERMELON,1,1218590632,accepted,5,true,false,150,,50,true,1493,1218,0.012
WATERMELON,2,3560161931,accepted,5,true,false,150,,50,true,2087,2228,0.009
OSCILLATED,0,3177632048,accepted,5,true,false,140,,40,true,2022,2084,0.01
OSCILLATED,1,2097653141,accepted,5,true,true,130,,30,true,1265,899,0.014
OSCILLATED,2,914745078,accepted,5,true,false,140,,40,true,2017,2298,0.01
ABANDONING,0,318647043,accepted,5,true,true,130,,30,true,1579,1719,0.012
ABANDONING,1,1449668422,accepted,5,true,false,140,,40,true,2079,1646,0.01
ABANDONING,2,298575205,accepted,4,true,false,150,,50,true,2448,2797,0.009
ABSOLUTELY,0,2652849110,accepted,5,true,false,150,,50,true,1832,1472,0.011
ABSOLUTELY,1,1631217235,accepted,5,true,false,150,,50,true,1818,2619,0.01
ABSOLUTELY,2,998562832,accepted,5,true,true,150,,50,true,1518,1336,0.012
ACCESSIBLE,0,1690736593,accepted,5,true,false,140,,40,true,1618,2178,0.011
ACCESSIBLE,1,519703340,accepted,5,true,false,140,,40,true,3002,4211,0.007
ACCESSIBLE,2,219530207,accepted,5,true,true,130,,30,true,1728,1614,0.012
ACCOUNTING,0,3873394804,accepted,5,true,false,140,,40,true,2504,2330,0.017
ACCOUNTING,1,3718030937,accepted,5,true,true,140,,40,true,2184,3000,0.019
ACCOUNTING,2,1844104026,accepted,5,true,false,150,,50,true,1672,1707,0.023
ADVENTURES,0,717995863,accepted,4,true,false,150,,50,true,1978,2525,0.01
ADVENTURES,1,1968410090,accepted,5,true,true,140,,40,true,1946,2055,0.01
ADVENTURES,2,276851241,accepted,5,true,false,150,,50,true,1469,1998,0.012
AGGRAVATED,0,1861405754,accepted,5,true,false,150,,50,true,2138,2243,0.01
AGGRAVATED,1,4055102695,accepted,5,true,true,140,,40,true,1420,969,0.013
AGGRAVATED,2,504883540,accepted,4,true,false,150,,50,true,2054,1907,0.01
AFTERTASTE,0,2749455397,accepted,5,true,false,130,,30,true,1690,2215,0.01
AFTERTASTE,1,915355008,accepted,5,true,false,140,,40,true,1691,1497,0.011
AFTERTASTE,2,1443187907,accepted,5,true,true,130,,30,true,1516,1763,0.012
AFFORDABLE,0,2761608168,accepted,4,true,false,150,,50,true,1877,1826,0.011
AFFORDABLE,1,191286573,accepted,4,true,false,150,,50,true,1350,888,0.013
AFFORDABLE,2,2119878222,accepted,5,true,true,140,,40,true,2278,2316,0.01
ABSTAINING,0,3763850566,accepted,5,true,false,140,,40,true,2251,2043,0.009
ABSTAINING,1,2632829187,accepted,5,true,false,150,,50,true,2392,2528,0.009
ABSTAINING,2,3860224960,accepted,5,true,true,140,,40,true,1732,1620,0.011
ACCIDENTAL,0,1261393139,accepted,5,true,false,150,,50,true,1929,1879,0.021
ACCIDENTAL,1,3228927222,accepted,5,true,false,150,,50,true,2066,2286,0.019
ACCIDENTAL,2,116867989,accepted,5,true,true,150,,50,true,1601,1371,0.025
ADJECTIVES,0,1417375968,accepted,5,true,false,150,,50,true,1466,1232,0.013
ADJECTIVES,1,2850995205,accepted,5,true,false,140,,40,true,1773,1304,0.011
ADJECTIVES,2,412209254,accepted,5,true,true,140,,40,true,1710,1430,0.011
AESTHETICS,0,1468007325,accepted,5,true,false,150,,50,true,1741,1511,0.011
AESTHETICS,1,1576744024,accepted,5,true,false,150,,50,true,1989,2084,0.01
AESTHETICS,2,3330800763,accepted,5,true,true,130,,30,true,2132,2284,0.01
AIRFREIGHT,0,4282592234,accepted,5,true,false,150,,50,true,2020,1420,0.01
AIRFREIGHT,1,3032178007,accepted,5,true,true,150,,50,true,1719,1500,0.011
AIRFREIGHT,2,3535369988,accepted,3,true,false,140,,40,true,1734,1907,0.012
ALCOHOLISM,0,3159074183,accepted,5,true,true,140,,40,true,1358,1348,0.013
ALCOHOLISM,1,3812443738,accepted,5,true,false,140,,40,true,2091,1725,0.01
ALCOHOLISM,2,1391403353,accepted,5,true,false,150,,50,true,1751,1683,0.011
ALLIGATORS,0,2882820644,accepted,5,true,false,150,,50,true,1525,1234,0.012
ALLIGATORS,1,1180074313,accepted,5,true,true,130,,30,true,1776,1774,0.011
ALLIGATORS,2,4999306,accepted,5,true,false,150,,50,true,2260,2056,0.009
AMBULANCES,0,965214593,accepted,4,true,false,150,,50,true,1799,1877,0.021
AMBULANCES,1,1627692444,accepted,4,true,false,150,,50,true,2353,2781,0.018
AMBULANCES,2,2054935951,accepted,5,true,true,140,,40,true,1787,1375,0.022
