answer,min_turns_only_candidate,min_turns_headroom_candidate,full_ranking_candidate,secondary_changed_selection,headroom_changed_selection
WATERMELON,0,0,0,false,false
OSCILLATED,0,1,1,false,true
ABANDONING,0,0,0,false,false
ABSOLUTELY,0,0,2,true,false
ACCESSIBLE,0,2,2,false,true
ACCOUNTING,0,0,1,true,false
ADVENTURES,1,1,1,false,false
AGGRAVATED,0,1,1,false,true
AFTERTASTE,0,0,2,true,false
AFFORDABLE,2,2,2,false,false
ABSTAINING,0,0,2,true,false
ACCIDENTAL,0,0,2,true,false
ADJECTIVES,0,1,2,true,true
AESTHETICS,0,2,2,false,true
AIRFREIGHT,0,0,1,true,false
ALCOHOLISM,0,0,0,false,false
ALLIGATORS,0,1,1,false,true
AMBULANCES,2,2,2,false,false
