answer,master_seed,candidate_pool_size,valid_candidates,selected_candidate_index,selected_candidate_seed,canonical_min_gold_turns,highest_proven_reachable_threshold,first_proven_unreachable_threshold,headroom_lower_bound,gold_without_hexalink,unique_tile_masks,tile_participation_spread,hexalink_participation_pct,generation_ms
WATERMELON,900000,3,3,0,1500921837,5,140,,40,true,1782,1464,0.011,407.824
OSCILLATED,900001,3,3,1,2097653141,5,130,,30,true,1265,899,0.014,338.063
ABANDONING,900002,3,3,0,318647043,5,130,,30,true,1579,1719,0.012,339.767
ABSOLUTELY,900003,3,3,2,998562832,5,150,,50,true,1518,1336,0.012,304.64
ACCESSIBLE,900004,3,3,2,219530207,5,130,,30,true,1728,1614,0.012,378.813
ACCOUNTING,900005,3,3,1,3718030937,5,140,,40,true,2184,3000,0.019,334.968
ADVENTURES,900006,3,3,1,1968410090,5,140,,40,true,1946,2055,0.01,316.487
AGGRAVATED,900007,3,3,1,4055102695,5,140,,40,true,1420,969,0.013,304.63
AFTERTASTE,900008,3,3,2,1443187907,5,130,,30,true,1516,1763,0.012,274.718
AFFORDABLE,900009,3,3,2,2119878222,5,140,,40,true,2278,2316,0.01,328.47
ABSTAINING,900010,3,3,2,3860224960,5,140,,40,true,1732,1620,0.011,334.639
ACCIDENTAL,900011,3,3,2,116867989,5,150,,50,true,1601,1371,0.025,296.527
ADJECTIVES,900012,3,3,2,412209254,5,140,,40,true,1710,1430,0.011,273.241
AESTHETICS,900013,3,3,2,3330800763,5,130,,30,true,2132,2284,0.01,346.327
AIRFREIGHT,900014,3,3,1,3032178007,5,150,,50,true,1719,1500,0.011,291.473
ALCOHOLISM,900015,3,3,0,3159074183,5,140,,40,true,1358,1348,0.013,283.643
ALLIGATORS,900016,3,3,1,1180074313,5,130,,30,true,1776,1774,0.011,303.269
AMBULANCES,900017,3,3,2,2054935951,5,140,,40,true,1787,1375,0.022,320.855
