answer,m6_candidate_index,m7b_candidate_index,m6_turns,m7b_turns,m6_headroom,m7b_headroom,m6_gold_without_hexalink,m7b_gold_without_hexalink,m6_unique_tile_masks,m7b_unique_tile_masks,m6_tile_participation_spread,m7b_tile_participation_spread,m6_hexalink_participation_pct,m7b_hexalink_participation_pct
WATERMELON,0,0,5,5,40,40,true,true,1782,1782,1464,1464,0.011043622308117063,0.011
OSCILLATED,0,1,5,5,40,30,true,true,2022,1265,2084,899,0.00998801438274071,0.014
ABANDONING,0,0,5,5,30,30,true,true,1579,1579,1719,1719,0.012283503255128362,0.012
ABSOLUTELY,0,2,5,5,50,50,true,true,1832,1518,1472,1336,0.010996261271167802,0.012
ACCESSIBLE,0,2,5,5,40,30,true,true,1618,1728,2178,1614,0.0112145340361108,0.012
ACCOUNTING,0,1,5,5,40,40,true,true,2504,2184,2330,3000,0.017230981304385287,0.019
ADVENTURES,0,1,4,5,50,40,true,true,1978,1946,2525,2055,0.009660902328277461,0.01
AGGRAVATED,0,1,5,5,50,40,true,true,2138,1420,2243,969,0.009776126698602014,0.013
AFTERTASTE,0,2,5,5,30,30,true,true,1690,1516,2215,1763,0.010466820180029307,0.012
AFFORDABLE,0,2,4,5,50,40,true,true,1877,2278,1826,2316,0.010862480990658266,0.01
ABSTAINING,0,2,5,5,40,40,true,true,2251,1732,2043,1620,0.008893632159373888,0.011
ACCIDENTAL,0,2,5,5,50,50,true,true,1929,1601,1879,1371,0.0211999152003392,0.025
ADJECTIVES,0,2,5,5,50,40,true,true,1466,1710,1232,1430,0.012507817385866166,0.011
AESTHETICS,0,2,5,5,50,30,true,true,1741,2132,1511,2284,0.010775862068965518,0.01
AIRFREIGHT,0,1,5,5,50,50,true,true,2020,1719,1420,1500,0.010282776349614397,0.011
ALCOHOLISM,0,0,5,5,40,40,true,true,1358,1358,1348,1348,0.013462574044157244,0.013
ALLIGATORS,0,1,5,5,50,30,true,true,1525,1776,1234,1774,0.012152144853566653,0.011
AMBULANCES,0,2,4,5,50,40,true,true,1799,1787,1877,1375,0.02121790791427965,0.022
