puzzle_id,answer,seed,puzzle_source,player_model,runs,mean_score,median_score,score_std_dev,p10_score,p25_score,p75_score,p90_score,gold_rate,silver_rate,bronze_rate,no_medal_rate,hexalink_rate,mean_hexalink_turn,completion_rate,mean_turns_used,mean_rows_completed,mean_columns_completed,mean_invalid_attempts,mean_hint_use,mean_valid_words,simulation_ms
WATERMELON#1,WATERMELON,810001,M7A3_EXISTING_M6_GRID,CASUAL,100,81.29,82,11.670817443434707,65,75,87,97,0.07,0.82,0.11,0,0.06,2.1666666666666665,1,6,0.07,0.04,0.29,0.22,5.71,169.488859
WATERMELON#1,WATERMELON,810001,M7A3_EXISTING_M6_GRID,REGULAR,100,104.11,105,10.633371330795603,90,96,110,115,0.68,0.32,0,0,0,0,1,6,0.34,0.19,0.07,0.53,5.93,315.504975
WATERMELON#1,WATERMELON,810001,M7A3_EXISTING_M6_GRID,STRONG,100,113.93,115,10.684885009992742,100,105,120,127,0.91,0.09,0,0,0,0,1,6,0.45,0.37,0.01,0.52,5.99,496.981688
WATERMELON#1,WATERMELON,810001,M7A3_EXISTING_M6_GRID,EXPERT,100,119.43,117,10.111754336294755,107,110,125,135,1,0,0,0,0,0,1,6,0.55,0.42,0,0.81,6,717.393524
WATERMELON#1,WATERMELON,810001,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
OSCILLATED#1,OSCILLATED,810002,M7A3_EXISTING_M6_GRID,CASUAL,100,83.31,82,11.138879946594562,71,76,92,97,0.07,0.86,0.07,0,0.34,1.8529411764705883,1,6,0.11,0.03,0.22,0.19,5.78,133.672375
OSCILLATED#1,OSCILLATED,810002,M7A3_EXISTING_M6_GRID,REGULAR,100,100.42,100,10.912119108328291,86,95,107,114,0.6,0.39,0.01,0,0.06,2.3333333333333335,1,6,0.59,0.03,0.18,0.43,5.82,242.863129
OSCILLATED#1,OSCILLATED,810002,M7A3_EXISTING_M6_GRID,STRONG,100,108.13,108,8.76708145118529,95,102,115,120,0.87,0.13,0,0,0,0,1,6,0.78,0.03,0.06,0.52,5.94,450.667323
OSCILLATED#1,OSCILLATED,810002,M7A3_EXISTING_M6_GRID,EXPERT,100,115.18,115,10.340056463906166,103,107,122,130,0.98,0.02,0,0,0,0,1,6,0.86,0.19,0.01,0.75,5.99,761.515855
OSCILLATED#1,OSCILLATED,810002,M7A3_EXISTING_M6_GRID,ORACLE,1,105,105,0,105,105,105,105,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ABANDONING#1,ABANDONING,810003,M7A3_EXISTING_M6_GRID,CASUAL,100,91.09,91,13.77238856802577,77,82,100,107,0.29,0.67,0.04,0,0.52,1.7307692307692308,1,6,0.26,0.01,0.29,0.21,5.71,151.279708
ABANDONING#1,ABANDONING,810003,M7A3_EXISTING_M6_GRID,REGULAR,100,118.34,118,11.671617996947408,105,110,127,135,0.96,0.04,0,0,0.83,1.4819277108433735,1,6,0.84,0.12,0.09,0.46,5.91,316.486825
ABANDONING#1,ABANDONING,810003,M7A3_EXISTING_M6_GRID,STRONG,100,129.43,130,9.494554526493893,120,123,135,140,1,0,0,0,0.96,1.21875,1,6,1.19,0.16,0.02,0.57,5.98,493.06528
ABANDONING#1,ABANDONING,810003,M7A3_EXISTING_M6_GRID,EXPERT,100,137.36,137,8.34183808439499,128,133,142,147,1,0,0,0,1,1,1,6,1.47,0.21,0.02,0.75,5.98,741.105972
ABANDONING#1,ABANDONING,810003,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ABSOLUTELY#1,ABSOLUTELY,810004,M7A3_EXISTING_M6_GRID,CASUAL,100,86.79,86,15.13861541778761,66,77,95,105,0.15,0.71,0.14,0,0.5,1.48,1,6,0.1,0.08,0.26,0.17,5.74,111.783937
ABSOLUTELY#1,ABSOLUTELY,810004,M7A3_EXISTING_M6_GRID,REGULAR,100,113.38,114,15.094169052781256,95,102,122,130,0.85,0.14,0.01,0,0.7,1.3,1,6,0.39,0.38,0.1,0.37,5.9,272.482211
ABSOLUTELY#1,ABSOLUTELY,810004,M7A3_EXISTING_M6_GRID,STRONG,100,131.1,130,15.499429771198786,112,120,140,150,0.98,0.02,0,0,0.91,1.1318681318681318,1,6,0.77,0.69,0.06,0.44,5.94,399.183743
ABSOLUTELY#1,ABSOLUTELY,810004,M7A3_EXISTING_M6_GRID,EXPERT,100,135.53,132,13.263799751141597,123,125,145,155,0.99,0.01,0,0,1,1.01,1,6,0.74,0.61,0.01,0.48,5.99,521.743815
ABSOLUTELY#1,ABSOLUTELY,810004,M7A3_EXISTING_M6_GRID,ORACLE,1,105,105,0,105,105,105,105,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ACCESSIBLE#1,ACCESSIBLE,810005,M7A3_EXISTING_M6_GRID,CASUAL,100,90.03,88,14.79110775725972,71,80,98,109,0.23,0.69,0.08,0,0.57,2.2280701754385963,1,6,0.22,0.04,0.27,0.21,5.73,132.741807
ACCESSIBLE#1,ACCESSIBLE,810005,M7A3_EXISTING_M6_GRID,REGULAR,100,114.38,115,11.167937512487628,100,107,120,127,0.91,0.09,0,0,0.93,1.5268817204301075,1,6,0.47,0.1,0.1,0.38,5.9,233.826751
ACCESSIBLE#1,ACCESSIBLE,810005,M7A3_EXISTING_M6_GRID,STRONG,100,122.08,120,9.186815321838997,110,117,127,134,0.99,0.01,0,0,0.98,1.2755102040816326,1,6,0.5,0.14,0.04,0.5,5.96,434.294062
ACCESSIBLE#1,ACCESSIBLE,810005,M7A3_EXISTING_M6_GRID,EXPERT,100,128.41,127,7.692440208648774,120,123,132,140,1,0,0,0,1,1.01,1,6,0.74,0.18,0.02,0.48,5.98,648.485679
ACCESSIBLE#1,ACCESSIBLE,810005,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ACCOUNTING#1,ACCOUNTING,810006,M7A3_EXISTING_M6_GRID,CASUAL,100,82.97,82,13.857467082385364,67,74,93,100,0.13,0.73,0.14,0,0.44,1.5,1,6,0.16,0.02,0.37,0.17,5.63,127.229954
ACCOUNTING#1,ACCOUNTING,810006,M7A3_EXISTING_M6_GRID,REGULAR,100,104.21,104,10.43333333333333,90,97,110,117,0.67,0.33,0,0,0.69,1.1304347826086956,1,6,0.31,0.08,0.12,0.34,5.88,241.17586
ACCOUNTING#1,ACCOUNTING,810006,M7A3_EXISTING_M6_GRID,STRONG,100,113.28,113,8.665594339254822,102,107,120,125,0.96,0.04,0,0,0.83,1.108433734939759,1,6,0.49,0.09,0.1,0.51,5.9,346.996894
ACCOUNTING#1,ACCOUNTING,810006,M7A3_EXISTING_M6_GRID,EXPERT,100,120.5,120,8.41775420516576,110,115,127,130,1,0,0,0,1,1,1,6,0.66,0.23,0.01,0.75,5.99,564.097688
ACCOUNTING#1,ACCOUNTING,810006,M7A3_EXISTING_M6_GRID,ORACLE,1,105,105,0,105,105,105,105,1,0,0,0,1,1,0,5,0,0,0,0,5,0
