puzzle_id,player_model,runs,mean_score,median_score,p10_score,p25_score,p75_score,p90_score,gold_rate
WATERMELON#1,CASUAL,100,81.29,82,65,75,87,97,0.07
WATERMELON#1,REGULAR,100,104.11,105,90,96,110,115,0.68
WATERMELON#1,STRONG,100,113.93,115,100,105,120,127,0.91
WATERMELON#1,EXPERT,100,119.43,117,107,110,125,135,1
WATERMELON#1,ORACLE,1,110,110,110,110,110,110,1
OSCILLATED#1,CASUAL,100,83.31,82,71,76,92,97,0.07
OSCILLATED#1,REGULAR,100,100.42,100,86,95,107,114,0.6
OSCILLATED#1,STRONG,100,108.13,108,95,102,115,120,0.87
OSCILLATED#1,EXPERT,100,115.18,115,103,107,122,130,0.98
OSCILLATED#1,ORACLE,1,105,105,105,105,105,105,1
ABANDONING#1,CASUAL,100,91.09,91,77,82,100,107,0.29
ABANDONING#1,REGULAR,100,118.34,118,105,110,127,135,0.96
ABANDONING#1,STRONG,100,129.43,130,120,123,135,140,1
ABANDONING#1,EXPERT,100,137.36,137,128,133,142,147,1
ABANDONING#1,ORACLE,1,110,110,110,110,110,110,1
ABSOLUTELY#1,CASUAL,100,86.79,86,66,77,95,105,0.15
ABSOLUTELY#1,REGULAR,100,113.38,114,95,102,122,130,0.85
ABSOLUTELY#1,STRONG,100,131.1,130,112,120,140,150,0.98
ABSOLUTELY#1,EXPERT,100,135.53,132,123,125,145,155,0.99
ABSOLUTELY#1,ORACLE,1,105,105,105,105,105,105,1
ACCESSIBLE#1,CASUAL,100,90.03,88,71,80,98,109,0.23
ACCESSIBLE#1,REGULAR,100,114.38,115,100,107,120,127,0.91
ACCESSIBLE#1,STRONG,100,122.08,120,110,117,127,134,0.99
ACCESSIBLE#1,EXPERT,100,128.41,127,120,123,132,140,1
ACCESSIBLE#1,ORACLE,1,110,110,110,110,110,110,1
ACCOUNTING#1,CASUAL,100,82.97,82,67,74,93,100,0.13
ACCOUNTING#1,REGULAR,100,104.21,104,90,97,110,117,0.67
ACCOUNTING#1,STRONG,100,113.28,113,102,107,120,125,0.96
ACCOUNTING#1,EXPERT,100,120.5,120,110,115,127,130,1
ACCOUNTING#1,ORACLE,1,105,105,105,105,105,105,1
ADVENTURES#1,CASUAL,100,90.06,90,69,77,102,110,0.28
ADVENTURES#1,REGULAR,100,111.99,112,95,104,120,127,0.82
ADVENTURES#1,STRONG,100,126.33,125,110,118,135,142,1
ADVENTURES#1,EXPERT,100,130.11,130,115,120,137,144,1
ADVENTURES#1,ORACLE,1,110,110,110,110,110,110,1
AGGRAVATED#1,CASUAL,100,87.7,85,73,77,97,108,0.21
AGGRAVATED#1,REGULAR,100,116.22,115,100,107,125,135,0.91
AGGRAVATED#1,STRONG,100,129.88,130,115,122,137,147,0.99
AGGRAVATED#1,EXPERT,100,139.17,140,125,130,147,155,1
AGGRAVATED#1,ORACLE,1,110,110,110,110,110,110,1
AFTERTASTE#1,CASUAL,100,87.08,87,72,80,95,104,0.13
AFTERTASTE#1,REGULAR,100,113.92,112,104,109,120,125,0.94
AFTERTASTE#1,STRONG,100,123.14,123,112,118,130,130,1
AFTERTASTE#1,EXPERT,100,127.95,127,118,123,130,140,1
AFTERTASTE#1,ORACLE,1,110,110,110,110,110,110,1
AFFORDABLE#1,CASUAL,100,93.28,95,77,85,102,107,0.32
AFFORDABLE#1,REGULAR,100,117.57,117,100,110,122,133,0.94
AFFORDABLE#1,STRONG,100,125.93,125,115,120,132,137,1
AFFORDABLE#1,EXPERT,100,129.62,130,121,125,135,140,1
AFFORDABLE#1,ORACLE,1,110,110,110,110,110,110,1
WATERMELON#2,CASUAL,100,80.67,82,65,73,87,97,0.08
WATERMELON#2,REGULAR,100,104.18,105,90,97,110,120,0.66
WATERMELON#2,STRONG,100,114.2,115,100,105,120,129,0.94
WATERMELON#2,EXPERT,100,118.71,115,105,110,125,133,1
WATERMELON#2,ORACLE,1,110,110,110,110,110,110,1
OSCILLATED#2,CASUAL,100,81.88,82,69,74,87,97,0.06
OSCILLATED#2,REGULAR,100,101.73,102,90,95,107,113,0.63
OSCILLATED#2,STRONG,100,108.42,108,100,100,113,120,0.93
OSCILLATED#2,EXPERT,100,113.65,112,103,108,120,127,0.95
OSCILLATED#2,ORACLE,1,105,105,105,105,105,105,1
ABANDONING#2,CASUAL,100,91.91,90,72,81,102,110,0.3
ABANDONING#2,REGULAR,100,117.03,117,100,110,125,130,0.92
ABANDONING#2,STRONG,100,129.97,130,120,125,135,143,1
ABANDONING#2,EXPERT,100,136.44,137,125,130,140,147,1
ABANDONING#2,ORACLE,1,110,110,110,110,110,110,1
ABSOLUTELY#2,CASUAL,100,86.67,85,66,74,95,108,0.2
ABSOLUTELY#2,REGULAR,100,113.5,112,92,105,122,135,0.83
ABSOLUTELY#2,STRONG,100,129.94,130,112,120,140,145,0.98
ABSOLUTELY#2,EXPERT,100,135.46,135,123,125,145,150,1
ABSOLUTELY#2,ORACLE,1,105,105,105,105,105,105,1
ACCESSIBLE#2,CASUAL,100,88.68,88,70,78,99,107,0.25
ACCESSIBLE#2,REGULAR,100,115.55,115,105,107,122,130,0.94
ACCESSIBLE#2,STRONG,100,122.69,122,110,117,127,135,0.99
ACCESSIBLE#2,EXPERT,100,129.95,130,120,125,135,142,1
ACCESSIBLE#2,ORACLE,1,110,110,110,110,110,110,1
ACCOUNTING#2,CASUAL,100,86.06,85,74,79,92,99,0.08
ACCOUNTING#2,REGULAR,100,104.56,104,90,99,110,117,0.74
ACCOUNTING#2,STRONG,100,112.76,112,104,108,117,122,0.97
ACCOUNTING#2,EXPERT,100,119.06,120,110,113,122,130,1
ACCOUNTING#2,ORACLE,1,105,105,105,105,105,105,1
ADVENTURES#2,CASUAL,100,88.03,87,72,78,97,106,0.18
ADVENTURES#2,REGULAR,100,113.21,112,98,107,120,130,0.9
ADVENTURES#2,STRONG,100,125.42,123,110,117,135,142,0.99
ADVENTURES#2,EXPERT,100,131.55,130,120,125,140,145,1
ADVENTURES#2,ORACLE,1,110,110,110,110,110,110,1
AGGRAVATED#2,CASUAL,100,89.06,86,72,80,95,109,0.24
AGGRAVATED#2,REGULAR,100,116.45,115,100,108,123,135,0.92
AGGRAVATED#2,STRONG,100,129.16,127,115,120,135,144,1
AGGRAVATED#2,EXPERT,100,140.59,142,125,130,150,155,1
AGGRAVATED#2,ORACLE,1,110,110,110,110,110,110,1
AFTERTASTE#2,CASUAL,100,86.16,85,72,77,95,103,0.16
AFTERTASTE#2,REGULAR,100,113.57,112,100,107,120,127,0.92
AFTERTASTE#2,STRONG,100,121.85,122,110,115,127,130,1
AFTERTASTE#2,EXPERT,100,127.79,127,120,125,130,140,0.99
AFTERTASTE#2,ORACLE,1,110,110,110,110,110,110,1
AFFORDABLE#2,CASUAL,100,90.86,90,75,83,98,105,0.23
AFFORDABLE#2,REGULAR,100,117.07,117,100,110,125,132,0.92
AFFORDABLE#2,STRONG,100,125.74,125,115,120,130,135,1
AFFORDABLE#2,EXPERT,100,129.92,130,120,125,135,143,1
AFFORDABLE#2,ORACLE,1,110,110,110,110,110,110,1
WATERMELON#3,CASUAL,100,83.57,83,67,77,90,98,0.08
WATERMELON#3,REGULAR,100,103.85,102,90,97,112,120,0.68
WATERMELON#3,STRONG,100,113.33,112,100,105,120,127,0.95
WATERMELON#3,EXPERT,100,119.36,118,105,110,127,134,1
WATERMELON#3,ORACLE,1,110,110,110,110,110,110,1
OSCILLATED#3,CASUAL,100,81.76,80,68,73,89,97,0.07
OSCILLATED#3,REGULAR,100,100.56,100,90,95,107,112,0.62
OSCILLATED#3,STRONG,100,110.13,110,100,105,115,122,0.96
OSCILLATED#3,EXPERT,100,115.53,115,105,110,122,129,1
OSCILLATED#3,ORACLE,1,105,105,105,105,105,105,1
ABANDONING#3,CASUAL,100,92.31,92,74,82,100,110,0.27
ABANDONING#3,REGULAR,100,119.02,120,100,110,125,135,0.95
ABANDONING#3,STRONG,100,127.4,127,115,120,133,137,0.98
ABANDONING#3,EXPERT,100,136.13,135,128,130,140,145,1
ABANDONING#3,ORACLE,1,110,110,110,110,110,110,1
ABSOLUTELY#3,CASUAL,100,85.54,83,67,77,93,104,0.18
ABSOLUTELY#3,REGULAR,100,113.37,112,95,102,122,132,0.85
ABSOLUTELY#3,STRONG,100,127.01,123,110,117,137,145,0.99
ABSOLUTELY#3,EXPERT,100,136.91,135,120,125,150,157,1
ABSOLUTELY#3,ORACLE,1,105,105,105,105,105,105,1
ACCESSIBLE#3,CASUAL,100,92.23,92,75,83,100,112,0.26
ACCESSIBLE#3,REGULAR,100,113.96,112,97,105,124,132,0.89
ACCESSIBLE#3,STRONG,100,123.7,122,115,118,127,135,1
ACCESSIBLE#3,EXPERT,100,129.21,130,120,123,135,140,1
ACCESSIBLE#3,ORACLE,1,110,110,110,110,110,110,1
ACCOUNTING#3,CASUAL,100,82.27,80,64,75,93,98,0.07
ACCOUNTING#3,REGULAR,100,105.86,105,95,100,110,117,0.82
ACCOUNTING#3,STRONG,100,114.97,115,107,110,120,127,0.98
ACCOUNTING#3,EXPERT,100,120.06,120,110,115,125,130,1
ACCOUNTING#3,ORACLE,1,105,105,105,105,105,105,1
ADVENTURES#3,CASUAL,100,87.52,87,70,77,97,105,0.19
ADVENTURES#3,REGULAR,100,111.93,110,98,102,120,127,0.85
ADVENTURES#3,STRONG,100,124.18,123,110,115,134,140,0.98
ADVENTURES#3,EXPERT,100,130.68,130,118,122,140,145,1
ADVENTURES#3,ORACLE,1,110,110,110,110,110,110,1
AGGRAVATED#3,CASUAL,100,88.26,88,71,76,99,105,0.25
AGGRAVATED#3,REGULAR,100,114.66,115,95,105,122,130,0.89
AGGRAVATED#3,STRONG,100,128.03,127,112,120,135,145,1
AGGRAVATED#3,EXPERT,100,137.42,140,125,130,147,150,1
AGGRAVATED#3,ORACLE,1,110,110,110,110,110,110,1
AFTERTASTE#3,CASUAL,100,86.71,85,70,77,93,104,0.17
AFTERTASTE#3,REGULAR,100,112.94,113,100,105,120,127,0.91
AFTERTASTE#3,STRONG,100,122.24,123,110,115,128,135,0.98
AFTERTASTE#3,EXPERT,100,126.86,125,118,122,130,135,1
AFTERTASTE#3,ORACLE,1,110,110,110,110,110,110,1
AFFORDABLE#3,CASUAL,100,94.01,96,75,85,102,107,0.39
AFFORDABLE#3,REGULAR,100,116.2,117,100,110,125,130,0.92
AFFORDABLE#3,STRONG,100,125.26,125,117,120,130,135,1
AFFORDABLE#3,EXPERT,100,128.31,127,122,125,131,135,1
AFFORDABLE#3,ORACLE,1,110,110,110,110,110,110,1
