word_length,qjynn_words,source_matches,missing,coverage_pct,median_rank,median_familiarity,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
ALL,41814,41318,496,98.81379442292055,29402,0.2814285714285715,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
2,102,102,0,100,3698,0.4714285714285714,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
3,673,673,0,100,9224,0.40285714285714286,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
4,2797,2796,1,99.96424740793708,16835,0.34285714285714286,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
5,4987,4970,17,99.65911369560858,23425,0.3071428571428571,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
6,7251,7197,54,99.25527513446421,28479,0.2842857142857143,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
7,8479,8369,110,98.7026772025003,31565,0.27285714285714285,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
8,8005,7868,137,98.28856964397251,33465,0.2657142857142857,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
9,6137,6021,116,98.10982564771061,34353,0.26285714285714284,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
10,3383,3322,61,98.19686668637304,36532,0.2542857142857143,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
