word_length,p1,p5,p10,p25,median,p75,p90,p95,p99,matched,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
ALL,0.03571428571428571,0.09857142857142856,0.13999999999999999,0.20714285714285716,0.2814285714285715,0.3671428571428571,0.45999999999999996,0.5199999999999999,0.62,41318,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
2,0.30142857142857143,0.33428571428571424,0.3685714285714286,0.4185714285714286,0.4714285714285714,0.6042857142857143,0.8085714285714286,0.8442857142857143,0.9142857142857144,102,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
3,0.1985714285714286,0.24714285714285714,0.27285714285714285,0.32142857142857145,0.40285714285714286,0.5014285714285714,0.6242857142857143,0.7042857142857143,0.812857142857143,673,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
4,0.08999999999999998,0.15714285714285717,0.19285714285714287,0.25999999999999995,0.34285714285714286,0.44571428571428573,0.5585714285714286,0.6171428571428572,0.72,2796,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
5,0.0557142857142857,0.12142857142857144,0.16428571428571428,0.2285714285714286,0.3071428571428571,0.4014285714285714,0.5028571428571428,0.5585714285714286,0.6414285714285715,4970,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
6,0.038571428571428576,0.10714285714285714,0.1471428571428571,0.21285714285714288,0.2842857142857143,0.37,0.4657142857142857,0.5185714285714286,0.6028571428571429,7197,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
7,0.03428571428571429,0.09571428571428571,0.1357142857142857,0.19999999999999998,0.27285714285714285,0.35428571428571426,0.4485714285714285,0.5028571428571428,0.5842857142857143,8369,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
8,0.028571428571428564,0.09285714285714285,0.12857142857142856,0.19428571428571426,0.2657142857142857,0.34714285714285714,0.4257142857142857,0.48142857142857143,0.5657142857142857,7868,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
9,0.024285714285714275,0.08285714285714287,0.12285714285714287,0.19,0.26285714285714284,0.33999999999999997,0.42142857142857143,0.4657142857142857,0.5428571428571428,6021,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
10,0.024285714285714275,0.0842857142857143,0.11857142857142858,0.18285714285714283,0.2542857142857143,0.3314285714285714,0.41000000000000003,0.4585714285714286,0.5342857142857144,3322,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
