puzzle,player_model,accessibility_system,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
WATERMELON,CASUAL,M8_HEURISTIC_BASELINE,79,0.5583331712473574,0.58374,itemizers,0.0759493670886076,0,0.9240506329113924,1,0.34177215189873417,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,REGULAR,M8_HEURISTIC_BASELINE,376,0.5765910080285456,0.58437,metabolize,0.6914893617021277,0,0.30851063829787234,1,0.03723404255319149,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,STRONG,M8_HEURISTIC_BASELINE,467,0.5930258318425778,0.5760000000000001,metabolize,0.569593147751606,0,0.430406852248394,1,0.06423982869379015,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,EXPERT,M8_HEURISTIC_BASELINE,496,0.6030466358128554,0.5994,brutalized,0.6955645161290323,0,0.30443548387096775,1,0.038306451612903226,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,ORACLE,M8_HEURISTIC_BASELINE,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,CASUAL,M8_HEURISTIC_BASELINE,44,0.56390885931559,0.58374,equivocate,0.06818181818181818,0,0.9318181818181818,1,0.3181818181818182,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,REGULAR,M8_HEURISTIC_BASELINE,397,0.5903274169120796,0.62514,ionization,0.7506297229219143,0,0.24937027707808565,1,0.015113350125944584,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,STRONG,M8_HEURISTIC_BASELINE,471,0.6133441020191244,0.6624,ionization,0.6751592356687898,0,0.3248407643312102,1,0.014861995753715499,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,EXPERT,M8_HEURISTIC_BASELINE,496,0.6196055154986475,0.5994,ionization,0.5887096774193549,0,0.4112903225806452,1,0.004032258064516129,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,ORACLE,M8_HEURISTIC_BASELINE,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
