puzzle,answer,player_model,accessibility_system,runs,mean_score,median_score,gold_rate,silver_rate,bronze_rate,hexalink_rate,mean_played_word_familiarity,rare_word_dependency,mean_known_moves,mean_noticed_moves,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
WATERMELON,WATERMELON,CASUAL,M8_HEURISTIC_BASELINE,500,86.712,85,0.158,0.766,0.076,0.412,0.5753507949790833,0.9240506329113924,5.648666666666666,6.299,79,0.5583331712473574,0.58374,itemizers,0.0759493670886076,0,0.9240506329113924,1,0.34177215189873417,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,REGULAR,M8_HEURISTIC_BASELINE,500,107.562,107,0.752,0.242,0.006,0.3,0.5814523467302494,0.30851063829787234,21.456,22.698,376,0.5765910080285456,0.58437,metabolize,0.6914893617021277,0,0.30851063829787234,1,0.03723404255319149,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,STRONG,M8_HEURISTIC_BASELINE,500,114.64,115,0.934,0.066,0,0,0.5943908663532573,0.430406852248394,52.04966666666667,54.52166666666667,467,0.5930258318425778,0.5760000000000001,metabolize,0.569593147751606,0,0.430406852248394,1,0.06423982869379015,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,EXPERT,M8_HEURISTIC_BASELINE,500,123.182,125,0.992,0.008,0,0,0.6030706820461363,0.30443548387096775,105.91666666666667,108.404,496,0.6030466358128554,0.5994,brutalized,0.6955645161290323,0,0.30443548387096775,1,0.038306451612903226,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,ORACLE,M8_HEURISTIC_BASELINE,1,110,110,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,CASUAL,M8_HEURISTIC_BASELINE,500,84.718,85,0.088,0.814,0.098,0.512,0.5838285554780247,0.9318181818181818,5.804333333333333,6.386666666666667,44,0.56390885931559,0.58374,equivocate,0.06818181818181818,0,0.9318181818181818,1,0.3181818181818182,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,REGULAR,M8_HEURISTIC_BASELINE,500,107.598,107,0.794,0.206,0,0.754,0.5924877231082543,0.24937027707808565,22.129666666666665,22.938333333333333,397,0.5903274169120796,0.62514,ionization,0.7506297229219143,0,0.24937027707808565,1,0.015113350125944584,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,STRONG,M8_HEURISTIC_BASELINE,500,113.208,113,0.942,0.058,0,0.466,0.6136118200134267,0.3248407643312102,54.946,56.531666666666666,471,0.6133441020191244,0.6624,ionization,0.6751592356687898,0,0.3248407643312102,1,0.014861995753715499,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,EXPERT,M8_HEURISTIC_BASELINE,500,116.284,115,0.992,0.008,0,0,0.6195989176982222,0.4112903225806452,116.009,117.24633333333334,496,0.6196055154986475,0.5994,ionization,0.5887096774193549,0,0.4112903225806452,1,0.004032258064516129,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,ORACLE,M8_HEURISTIC_BASELINE,1,105,105,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,ABANDONING,CASUAL,M8_HEURISTIC_BASELINE,500,88.914,89,0.234,0.672,0.094,0.548,0.5767882080112485,0.9743589743589743,5.812,6.325,117,0.55978210300429,0.58374,rejuvenate,0.02564102564102564,0,0.9743589743589743,1,0.3076923076923077,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,ABANDONING,REGULAR,M8_HEURISTIC_BASELINE,500,117.004,117,0.928,0.072,0,0.772,0.5762863115032252,0.2435344827586207,22.11,22.800666666666668,464,0.575576780523257,0.58437,rejection,0.7564655172413793,0,0.2435344827586207,1,0.032327586206896554,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
