puzzle,player_model,accessibility_system,threshold,rare_word_dependency_rate,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
WATERMELON,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.9240506329113924,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.30851063829787234,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,STRONG,M8_HEURISTIC_BASELINE,0.5,0.430406852248394,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.30443548387096775,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.9318181818181818,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.24937027707808565,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,STRONG,M8_HEURISTIC_BASELINE,0.5,0.3248407643312102,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.4112903225806452,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.9743589743589743,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.2435344827586207,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,STRONG,M8_HEURISTIC_BASELINE,0.5,0.4348697394789579,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.556,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.859375,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.18981481481481483,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,STRONG,M8_HEURISTIC_BASELINE,0.5,0.26814516129032256,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.07228915662650602,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.9583333333333334,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.39870689655172414,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,STRONG,M8_HEURISTIC_BASELINE,0.5,0.4596774193548387,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.302,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.4166666666666667,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.3628808864265928,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,STRONG,M8_HEURISTIC_BASELINE,0.5,0.45491803278688525,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.43661971830985913,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.9642857142857143,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.3357142857142857,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,STRONG,M8_HEURISTIC_BASELINE,0.5,0.4899193548387097,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.35,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
