puzzle_id,runs,mean_score,median_score,gold_rate,hexalink_rate,familiarity_source,source_version,normalization_version,fallback_used
WATERMELON,100,84.01,81,0.14,0.24,wordfreq,v3.2,zipf-linear-v1,false
WATERMELON,250,83.452,82,0.096,0.24,wordfreq,v3.2,zipf-linear-v1,false
WATERMELON,500,84.41,84,0.108,0.26,wordfreq,v3.2,zipf-linear-v1,false
WATERMELON,1000,84.235,83,0.115,0.244,wordfreq,v3.2,zipf-linear-v1,false
OSCILLATED,100,80.5,80,0.03,0.34,wordfreq,v3.2,zipf-linear-v1,false
OSCILLATED,250,79.612,79,0.02,0.208,wordfreq,v3.2,zipf-linear-v1,false
OSCILLATED,500,80.126,80,0.028,0.214,wordfreq,v3.2,zipf-linear-v1,false
OSCILLATED,1000,80.132,79,0.042,0.216,wordfreq,v3.2,zipf-linear-v1,false
ABANDONING,100,83.97,82,0.12,0.23,wordfreq,v3.2,zipf-linear-v1,false
ABANDONING,250,84.444,84,0.132,0.224,wordfreq,v3.2,zipf-linear-v1,false
ABANDONING,500,84.304,84,0.122,0.236,wordfreq,v3.2,zipf-linear-v1,false
ABANDONING,1000,84.921,84,0.127,0.256,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTELY,100,82.7,82,0.07,0.22,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTELY,250,79.872,80,0.044,0.22,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTELY,500,79.916,79,0.05,0.186,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTELY,1000,80.555,79,0.065,0.205,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,100,86.41,84,0.18,0.34,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,250,84.308,83,0.124,0.276,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,500,83.08,83,0.108,0.266,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,1000,83.171,82,0.114,0.257,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTING,100,79.3,80,0.04,0.19,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTING,250,79.812,80,0.028,0.172,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTING,500,79.97,79,0.044,0.188,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTING,1000,80.363,80,0.025,0.2,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,100,81.51,81,0.05,0.24,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,250,81.632,80,0.072,0.228,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,500,81.086,80,0.076,0.234,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,1000,81.408,81,0.07,0.279,wordfreq,v3.2,zipf-linear-v1,false
AGGRAVATED,100,81.52,80,0.06,0.2,wordfreq,v3.2,zipf-linear-v1,false
AGGRAVATED,250,82.348,82,0.048,0.172,wordfreq,v3.2,zipf-linear-v1,false
AGGRAVATED,500,82.876,82,0.074,0.2,wordfreq,v3.2,zipf-linear-v1,false
AGGRAVATED,1000,82.101,82,0.066,0.215,wordfreq,v3.2,zipf-linear-v1,false
AFTERTASTE,100,80.63,80,0.08,0.21,wordfreq,v3.2,zipf-linear-v1,false
AFTERTASTE,250,81.668,81,0.06,0.252,wordfreq,v3.2,zipf-linear-v1,false
AFTERTASTE,500,80.642,80,0.042,0.204,wordfreq,v3.2,zipf-linear-v1,false
AFTERTASTE,1000,81.438,81,0.063,0.206,wordfreq,v3.2,zipf-linear-v1,false
AFFORDABLE,100,85.89,85,0.18,0.27,wordfreq,v3.2,zipf-linear-v1,false
AFFORDABLE,250,87.324,87,0.164,0.296,wordfreq,v3.2,zipf-linear-v1,false
AFFORDABLE,500,87.814,87,0.202,0.286,wordfreq,v3.2,zipf-linear-v1,false
AFFORDABLE,1000,87.342,87,0.178,0.286,wordfreq,v3.2,zipf-linear-v1,false
