puzzle_id,regular_gold_rate,regular_hexalink_rate,strong_gold_rate,strong_hexalink_rate,familiarity_source,source_version,normalization_version,fallback_used
WATERMELON,0.11466666666666665,0.254,0.22266666666666668,0.11933333333333333,wordfreq,v3.2,zipf-linear-v1,false
OSCILLATED,0.04666666666666667,0.23066666666666666,0.10066666666666668,0.12133333333333333,wordfreq,v3.2,zipf-linear-v1,false
ABANDONING,0.1386666666666667,0.24933333333333332,0.3133333333333333,0.17600000000000002,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTELY,0.06666666666666667,0.23199999999999998,0.19266666666666668,0.158,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,0.11,0.272,0.22466666666666665,0.16466666666666666,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTING,0.03466666666666667,0.19999999999999998,0.12933333333333333,0.15666666666666665,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,0.06666666666666667,0.24733333333333332,0.132,0.15733333333333333,wordfreq,v3.2,zipf-linear-v1,false
AGGRAVATED,0.07733333333333334,0.214,0.21666666666666665,0.14800000000000002,wordfreq,v3.2,zipf-linear-v1,false
AFTERTASTE,0.050666666666666665,0.22066666666666665,0.12933333333333333,0.166,wordfreq,v3.2,zipf-linear-v1,false
AFFORDABLE,0.18000000000000002,0.2806666666666667,0.29600000000000004,0.1486666666666667,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,0.09133333333333334,0.18000000000000002,0.28533333333333327,0.13466666666666668,wordfreq,v3.2,zipf-linear-v1,false
ABDICATING,0.20066666666666666,0.24533333333333332,0.422,0.13933333333333334,wordfreq,v3.2,zipf-linear-v1,false
ABDUCTIONS,0.09200000000000001,0.21866666666666668,0.254,0.15066666666666664,wordfreq,v3.2,zipf-linear-v1,false
ABHORRENCE,0.11,0.2853333333333333,0.19400000000000003,0.136,wordfreq,v3.2,zipf-linear-v1,false
ABOLISHING,0.126,0.268,0.25133333333333335,0.13733333333333334,wordfreq,v3.2,zipf-linear-v1,false
ABROGATING,0.07400000000000001,0.22133333333333335,0.17666666666666667,0.14733333333333334,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTISM,0.04866666666666667,0.21933333333333335,0.12,0.128,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTIST,0.082,0.16733333333333333,0.26533333333333337,0.16266666666666665,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,0.076,0.27666666666666667,0.17866666666666667,0.16,wordfreq,v3.2,zipf-linear-v1,false
ABSTAINING,0.08933333333333333,0.24933333333333332,0.214,0.16133333333333333,wordfreq,v3.2,zipf-linear-v1,false
