metric_a,metric_b,spearman,n,redundant,familiarity_source,source_version,normalization_version,fallback_used
raw_legal_moves,unique_playable_words,0.8483553421368547,50,true,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,unique_skeletons,0.859015606242497,50,true,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,unique_tile_masks,0.9430492196878751,50,true,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,solver_relevant_moves,0.9430492196878751,50,true,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,hexalink_move_count,-0.043937575030011944,50,false,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,hexalink_participation_pct,-0.7014165666266508,50,false,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,hexalink_rows_touched,-0.2559903961584633,50,false,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,hexalink_columns_touched,-0.05575030012004811,50,false,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,hexalink_diagonal_steps,0.028091236494597882,50,false,wordfreq,v3.2,zipf-linear-v1,false
raw_legal_moves,enumeration_ms,0.8344297719087634,50,true,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,unique_skeletons,0.972436974789916,50,true,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,unique_tile_masks,0.8520048019207683,50,true,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,solver_relevant_moves,0.8520048019207683,50,true,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,hexalink_move_count,0.058439375750300115,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,hexalink_participation_pct,-0.5669627851140455,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,hexalink_rows_touched,-0.15601440576230496,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,hexalink_columns_touched,-0.08523409363745493,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,hexalink_diagonal_steps,0.041824729891956736,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_playable_words,enumeration_ms,0.79937575030012,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_skeletons,unique_tile_masks,0.9019447779111645,50,true,wordfreq,v3.2,zipf-linear-v1,false
unique_skeletons,solver_relevant_moves,0.9019447779111645,50,true,wordfreq,v3.2,zipf-linear-v1,false
unique_skeletons,hexalink_move_count,0.021272509003601447,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_skeletons,hexalink_participation_pct,-0.594717887154862,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_skeletons,hexalink_rows_touched,-0.14727490996398562,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_skeletons,hexalink_columns_touched,-0.08321728691476582,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_skeletons,hexalink_diagonal_steps,0.0562304921968787,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_skeletons,enumeration_ms,0.8197358943577431,50,true,wordfreq,v3.2,zipf-linear-v1,false
unique_tile_masks,solver_relevant_moves,1,50,true,wordfreq,v3.2,zipf-linear-v1,false
unique_tile_masks,hexalink_move_count,-0.07956782713085242,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_tile_masks,hexalink_participation_pct,-0.6826890756302522,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_tile_masks,hexalink_rows_touched,-0.24129651860744294,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_tile_masks,hexalink_columns_touched,-0.02953181272509009,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_tile_masks,hexalink_diagonal_steps,0.0761104441776711,50,false,wordfreq,v3.2,zipf-linear-v1,false
unique_tile_masks,enumeration_ms,0.8356782713085233,50,true,wordfreq,v3.2,zipf-linear-v1,false
solver_relevant_moves,hexalink_move_count,-0.07956782713085242,50,false,wordfreq,v3.2,zipf-linear-v1,false
solver_relevant_moves,hexalink_participation_pct,-0.6826890756302522,50,false,wordfreq,v3.2,zipf-linear-v1,false
solver_relevant_moves,hexalink_rows_touched,-0.24129651860744294,50,false,wordfreq,v3.2,zipf-linear-v1,false
solver_relevant_moves,hexalink_columns_touched,-0.02953181272509009,50,false,wordfreq,v3.2,zipf-linear-v1,false
solver_relevant_moves,hexalink_diagonal_steps,0.0761104441776711,50,false,wordfreq,v3.2,zipf-linear-v1,false
solver_relevant_moves,enumeration_ms,0.8356782713085233,50,true,wordfreq,v3.2,zipf-linear-v1,false
hexalink_move_count,hexalink_participation_pct,0.4492196878751501,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_move_count,hexalink_rows_touched,0.35414165666266506,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_move_count,hexalink_columns_touched,0.08773109243697474,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_move_count,hexalink_diagonal_steps,-0.07178871548619448,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_move_count,enumeration_ms,0.08686674669867944,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_participation_pct,hexalink_rows_touched,0.2094117647058824,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_participation_pct,hexalink_columns_touched,-0.03529411764705892,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_participation_pct,hexalink_diagonal_steps,-0.15428571428571436,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_participation_pct,enumeration_ms,-0.6122929171668667,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_rows_touched,hexalink_columns_touched,-0.3890036014405762,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_rows_touched,hexalink_diagonal_steps,0.058439375750300115,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_rows_touched,enumeration_ms,-0.13277310924369745,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_columns_touched,hexalink_diagonal_steps,0.28153661464585833,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_columns_touched,enumeration_ms,0.0533493397358944,50,false,wordfreq,v3.2,zipf-linear-v1,false
hexalink_diagonal_steps,enumeration_ms,0.09464585834333739,50,false,wordfreq,v3.2,zipf-linear-v1,false
