puzzle_id,answer,grid_hash,puzzle_source,model,replicate,runs,mean_score,median_score,score_sd,p10,p25,p75,p90,gold_rate,silver_rate,bronze_rate,no_medal_rate,hexalink_rate,mean_hexalink_turn,mean_known_moves,mean_noticed_moves,mean_played_familiarity,rare_word_dependency,mean_turns_used,completion_rate,simulator_version,player_model_version,familiarity_provider_version,source_version,normalization_version,familiarity_source,fallback_used
WATERMELON,WATERMELON,WTRMTT/KTBLYF/MLNHCW/ZDDSSR/PRQGNH/XNSVCB/DNPFLY/GLVJSR,M7A3_EXISTING_M6_GRID,REGULAR,A,500,84.976,84,12.084514677469679,70,77,92,100,0.126,0.794,0.08,0,0.272,2.8970588235294117,0.2280760253417806,8.170390130043348,0.30102128149575136,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
WATERMELON,WATERMELON,WTRMTT/KTBLYF/MLNHCW/ZDDSSR/PRQGNH/XNSVCB/DNPFLY/GLVJSR,M7A3_EXISTING_M6_GRID,REGULAR,B,500,84.568,84,11.647863385311735,70,76,92,100,0.108,0.812,0.08,0,0.252,2.738095238095238,0.21666666666666667,8.233666666666666,0.3000710480867257,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
WATERMELON,WATERMELON,WTRMTT/KTBLYF/MLNHCW/ZDDSSR/PRQGNH/XNSVCB/DNPFLY/GLVJSR,M7A3_EXISTING_M6_GRID,REGULAR,C,500,84.354,83,11.410744681587467,72,77,92,100,0.11,0.828,0.062,0,0.238,2.8739495798319328,0.20533333333333334,8.222666666666667,0.29949415565899684,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
WATERMELON,WATERMELON,WTRMTT/KTBLYF/MLNHCW/ZDDSSR/PRQGNH/XNSVCB/DNPFLY/GLVJSR,M7A3_EXISTING_M6_GRID,STRONG,A,500,91.42,90,12.374726976199149,77,82,99,107,0.228,0.756,0.016,0,0.124,3.0483870967741935,5.7843333333333335,28.873,0.5155366648707956,0.9912280701754386,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
WATERMELON,WATERMELON,WTRMTT/KTBLYF/MLNHCW/ZDDSSR/PRQGNH/XNSVCB/DNPFLY/GLVJSR,M7A3_EXISTING_M6_GRID,STRONG,B,500,90.376,89,11.653593285890235,77,82,97,105,0.2,0.788,0.012,0,0.112,3.1964285714285716,5.796333333333333,29.063333333333333,0.5176621788841314,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
WATERMELON,WATERMELON,WTRMTT/KTBLYF/MLNHCW/ZDDSSR/PRQGNH/XNSVCB/DNPFLY/GLVJSR,M7A3_EXISTING_M6_GRID,STRONG,C,500,91.156,89,12.191510565131766,78,83,99,108,0.24,0.738,0.022,0,0.122,3.5901639344262297,5.852,29.108,0.5185865820530917,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
OSCILLATED,OSCILLATED,YDPGSC/SMTLLT/PDWRWT/DLRYSB/RNQNVX/RVCTSF/MHZJHN/LKNFBG,M7A3_EXISTING_M6_GRID,REGULAR,A,500,80.338,80,10.908057913987703,66,73,87,95,0.046,0.796,0.158,0,0.244,2.918032786885246,0.3456666666666667,8.366333333333333,0.3027413064854605,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
OSCILLATED,OSCILLATED,YDPGSC/SMTLLT/PDWRWT/DLRYSB/RNQNVX/RVCTSF/MHZJHN/LKNFBG,M7A3_EXISTING_M6_GRID,REGULAR,B,500,79.452,79,10.353264033738574,66,73,87,92,0.03,0.798,0.172,0,0.21,2.8380952380952382,0.31,8.32,0.3058996615748277,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
OSCILLATED,OSCILLATED,YDPGSC/SMTLLT/PDWRWT/DLRYSB/RNQNVX/RVCTSF/MHZJHN/LKNFBG,M7A3_EXISTING_M6_GRID,REGULAR,C,500,81.564,82,11.536901846181095,67,74,89,95,0.064,0.802,0.134,0,0.238,2.764705882352941,0.331,8.353,0.2991562815800244,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
OSCILLATED,OSCILLATED,YDPGSC/SMTLLT/PDWRWT/DLRYSB/RNQNVX/RVCTSF/MHZJHN/LKNFBG,M7A3_EXISTING_M6_GRID,STRONG,A,500,86.248,85,10.396473889674205,73,79,93,100,0.116,0.846,0.038,0,0.12,2.75,6.184666666666667,29.527666666666665,0.525503999710181,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
OSCILLATED,OSCILLATED,YDPGSC/SMTLLT/PDWRWT/DLRYSB/RNQNVX/RVCTSF/MHZJHN/LKNFBG,M7A3_EXISTING_M6_GRID,STRONG,B,500,86.256,85,9.978858614013767,73,79,93,99,0.098,0.862,0.04,0,0.144,2.986111111111111,6.104333333333333,29.444,0.5233296822159518,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
OSCILLATED,OSCILLATED,YDPGSC/SMTLLT/PDWRWT/DLRYSB/RNQNVX/RVCTSF/MHZJHN/LKNFBG,M7A3_EXISTING_M6_GRID,STRONG,C,500,85.838,85,10.111589612369459,73,79,92,98,0.088,0.882,0.03,0,0.1,2.94,6.155666666666667,29.44,0.528069916999157,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ABANDONING,ABANDONING,LYDQBR/DMTHTN/RVTSND/JCNRGN/SMCVHS/WWKBPY/LFSPGL/RTFLXZ,M7A3_EXISTING_M6_GRID,REGULAR,A,500,85.06,84,13.134131521407998,69,76,92,104,0.148,0.734,0.118,0,0.246,2.83739837398374,0.279,8.191333333333333,0.3092786410653141,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ABANDONING,ABANDONING,LYDQBR/DMTHTN/RVTSND/JCNRGN/SMCVHS/WWKBPY/LFSPGL/RTFLXZ,M7A3_EXISTING_M6_GRID,REGULAR,B,500,85.246,85,12.917244070961015,69,77,93,102,0.13,0.768,0.102,0,0.26,3,0.291,8.13,0.30902808417509864,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
