puzzle_id,model,gold_rate_range,gold_rate_sd,median_score_range,mean_score_range,hexalink_rate_range,answer,grid_hash,puzzle_source,replicate,runs,mean_score,median_score,score_sd,p10,p25,p75,p90,gold_rate,silver_rate,bronze_rate,no_medal_rate,hexalink_rate,mean_hexalink_turn,mean_known_moves,mean_noticed_moves,mean_played_familiarity,rare_word_dependency,mean_turns_used,completion_rate,simulator_version,player_model_version,familiarity_provider_version,source_version,normalization_version,familiarity_source,fallback_used
WATERMELON,REGULAR,,,,,,WATERMELON,WTRMTT/KTBLYF/MLNHCW/ZDDSSR/PRQGNH/XNSVCB/DNPFLY/GLVJSR,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,84.63266666666665,83.66666666666667,11.71437424812296,70,77,92,100,0.11466666666666665,0.8113333333333334,0.074,0,0.254,2.8970588235294117,0.21669200844726022,8.208907821125562,0.3001954950804913,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
WATERMELON,STRONG,,,,,,WATERMELON,WTRMTT/KTBLYF/MLNHCW/ZDDSSR/PRQGNH/XNSVCB/DNPFLY/GLVJSR,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,90.984,89.33333333333333,12.07327694240705,77,82,99,107,0.22266666666666668,0.7606666666666667,0.016666666666666666,0,0.11933333333333333,3.0483870967741935,5.810888888888889,29.01477777777778,0.5172618086026729,0.9970760233918128,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
OSCILLATED,REGULAR,,,,,,OSCILLATED,YDPGSC/SMTLLT/PDWRWT/DLRYSB/RNQNVX/RVCTSF/MHZJHN/LKNFBG,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,80.45133333333332,80.33333333333333,10.932741264635789,66,73,87,95,0.04666666666666667,0.7986666666666666,0.15466666666666665,0,0.23066666666666666,2.918032786885246,0.32888888888888884,8.346444444444444,0.30259908321343754,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
OSCILLATED,STRONG,,,,,,OSCILLATED,YDPGSC/SMTLLT/PDWRWT/DLRYSB/RNQNVX/RVCTSF/MHZJHN/LKNFBG,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,86.11399999999999,85,10.162307372019143,73,79,93,100,0.10066666666666668,0.8633333333333333,0.036,0,0.12133333333333333,2.75,6.1482222222222225,29.470555555555553,0.5256345329750965,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ABANDONING,REGULAR,,,,,,ABANDONING,LYDQBR/DMTHTN/RVTSND/JCNRGN/SMCVHS/WWKBPY/LFSPGL/RTFLXZ,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,85.28066666666666,84.33333333333333,13.025886496188242,69,76,92,104,0.1386666666666667,0.754,0.10733333333333332,0,0.24933333333333332,2.83739837398374,0.2897777777777778,8.198444444444446,0.30904796220350755,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ABANDONING,STRONG,,,,,,ABANDONING,LYDQBR/DMTHTN/RVTSND/JCNRGN/SMCVHS/WWKBPY/LFSPGL/RTFLXZ,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,93.532,92,12.23700168183199,79,84,102,110,0.3133333333333333,0.6786666666666666,0.008,0,0.17600000000000002,3.32183908045977,6.210333333333334,29.14522222222222,0.5262946847490161,0.9936104599677033,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ABSOLUTELY,REGULAR,,,,,,ABSOLUTELY,NNDWRY/DMTMFV/KBPFCT/GSRTJC/RSLLYS/HBGZWT/DVLHPQ/SLRNNX,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,81.15066666666667,80.33333333333333,11.497369374672575,68,74,87,97,0.06666666666666667,0.7959999999999999,0.13733333333333334,0,0.23199999999999998,2.5046728971962615,0.23700000000000002,8.115666666666668,0.29992388327973246,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ABSOLUTELY,STRONG,,,,,,ABSOLUTELY,NNDWRY/DMTMFV/KBPFCT/GSRTJC/RSLLYS/HBGZWT/DVLHPQ/SLRNNX,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,89.37,87.33333333333333,12.68069393827136,75,80,97,107,0.19266666666666668,0.7793333333333333,0.027999999999999997,0,0.158,2.978021978021978,5.667000000000001,29.09577777777778,0.5099084617480995,0.9825979089136984,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ACCESSIBLE,REGULAR,,,,,,ACCESSIBLE,DGRDLT/LBJNTV/DFHPXF/WGWYSM/MNZQLB/VTTRHS/RLNYRS/KNSPCC,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,83.51533333333333,82.33333333333333,12.553834549004682,68,73,91,100,0.11,0.782,0.10733333333333334,0.0006666666666666666,0.272,3.4015151515151514,0.2677777777777777,8.318777777777777,0.31037367470976956,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ACCESSIBLE,STRONG,,,,,,ACCESSIBLE,DGRDLT/LBJNTV/DFHPXF/WGWYSM/MNZQLB/VTTRHS/RLNYRS/KNSPCC,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,90.57666666666667,89.33333333333333,12.11082060998263,76,82,98,105,0.22466666666666665,0.7479999999999999,0.02733333333333333,0,0.16466666666666666,3.5934065934065935,5.779222222222223,29.361555555555555,0.5152468749538293,0.9966329966329966,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ACCOUNTING,REGULAR,,,,,,ACCOUNTING,RTBWLP/RNPLHX/VFJBMW/DSTYZD/FQDGSS/HNKNLT/RLSNTG/RCCYVM,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,80.72800000000001,80.33333333333333,10.519227425998722,67,73,88,94,0.03466666666666667,0.834,0.13133333333333333,0,0.19999999999999998,2.510204081632653,0.23455555555555554,8.143888888888888,0.2898273266389664,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ACCOUNTING,STRONG,,,,,,ACCOUNTING,RTBWLP/RNPLHX/VFJBMW/DSTYZD/FQDGSS/HNKNLT/RLSNTG/RCCYVM,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,87.97266666666667,87,9.927753447168111,76,82,95,101,0.12933333333333333,0.842,0.028666666666666663,0,0.15666666666666665,2.3780487804878048,5.176888888888889,29.00922222222222,0.5048216857060001,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ADVENTURES,REGULAR,,,,,,ADVENTURES,MDFGSS/VBBYGH/NWRNZL/TRSMVW/SCDLYN/TLXPCQ/TTFHLR/DRNKJP,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,80.94533333333334,80.33333333333333,11.780504035121254,65,73,89,95,0.06666666666666667,0.7826666666666666,0.15,0.0006666666666666666,0.24733333333333332,2.8053097345132745,0.269,8.264444444444443,0.3056349180303204,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
ADVENTURES,STRONG,,,,,,ADVENTURES,MDFGSS/VBBYGH/NWRNZL/TRSMVW/SCDLYN/TLXPCQ/TTFHLR/DRNKJP,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,86.48533333333334,85,10.920257855760147,73,78,92,102,0.132,0.8393333333333333,0.028666666666666663,0,0.15733333333333333,3.219178082191781,5.550777777777777,29.066777777777776,0.5213294691037172,0.9846802239905689,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
AGGRAVATED,REGULAR,,,,,,AGGRAVATED,HBZQSC/LVKNTR/CWPXYJ/NNSSBF/HRLSLP/WGVTDY/GRMTRL/TDDNMF,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,82.41466666666666,81.66666666666667,11.230975842953832,68,75,88,95,0.07733333333333334,0.8066666666666666,0.11599999999999999,0,0.214,2.5,0.19777777777777775,8.124666666666668,0.2990335705462834,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
AGGRAVATED,STRONG,,,,,,AGGRAVATED,HBZQSC/LVKNTR/CWPXYJ/NNSSBF/HRLSLP/WGVTDY/GRMTRL/TDDNMF,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,90.59733333333334,89,11.714248160629651,78,82,97,105,0.21666666666666665,0.7653333333333334,0.018,0,0.14800000000000002,2.68,5.796444444444444,29.18744444444444,0.5171475802055111,0.9971751412429378,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
AFTERTASTE,REGULAR,,,,,,AFTERTASTE,XGSSKV/WNLWFS/LBRVTY/DHQSCR/MPTPYT/GTJDFH/NMBNLC/DZRNLR,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,80.91199999999999,80,10.780627103495966,68,75,87,95,0.050666666666666665,0.8119999999999999,0.13733333333333334,0,0.22066666666666665,2.6226415094339623,0.12766666666666668,8.126555555555555,0.2912689599289076,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
AFTERTASTE,STRONG,,,,,,AFTERTASTE,XGSSKV/WNLWFS/LBRVTY/DHQSCR/MPTPYT/GTJDFH/NMBNLC/DZRNLR,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,87.99733333333332,87,10.275406064792717,76,81,95,100,0.12933333333333333,0.8433333333333333,0.027333333333333334,0,0.166,3.0259740259740258,5.870888888888889,28.94711111111111,0.5084951216035495,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
AFFORDABLE,REGULAR,,,,,,AFFORDABLE,ZWMCLB/DKNSRD/TTTMFX/PNRCYF/GVHRDT/SRVLWL/NJNPQB/YGLSHS,M7A3_EXISTING_M6_GRID,AGGREGATE,1500,87.27333333333335,86.33333333333333,12.479272586918233,72,80,95,105,0.18000000000000002,0.7546666666666667,0.06533333333333334,0,0.2806666666666667,3.437956204379562,0.24633333333333338,8.340000000000002,0.30582871825945196,1,6,1,m8.1,m8.1.players.0,wordfreq,v3.2,zipf-linear-v1,wordfreq,false
