model,metric,view_a,view_b,spearman,n_puzzles,familiarity_source,source_version,normalization_version,fallback_used
REGULAR,gold_rate,A,B,0.8267466986794718,50,wordfreq,v3.2,zipf-linear-v1,false
REGULAR,gold_rate,A,C,0.8843697478991597,50,wordfreq,v3.2,zipf-linear-v1,false
REGULAR,gold_rate,B,C,0.8558463385354141,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,gold_rate,A,B,0.8741896758703481,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,gold_rate,A,C,0.916734693877551,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,gold_rate,B,C,0.8981992797118847,50,wordfreq,v3.2,zipf-linear-v1,false
REGULAR,median_score,A,B,0.8109003601440576,50,wordfreq,v3.2,zipf-linear-v1,false
REGULAR,median_score,A,C,0.8076350540216086,50,wordfreq,v3.2,zipf-linear-v1,false
REGULAR,median_score,B,C,0.8106122448979591,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,median_score,A,B,0.8605522208883554,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,median_score,A,C,0.9214405762304922,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,median_score,B,C,0.9204801920768307,50,wordfreq,v3.2,zipf-linear-v1,false
REGULAR,mean_score,A,B,0.9256662665066027,50,wordfreq,v3.2,zipf-linear-v1,false
REGULAR,mean_score,A,C,0.9306602641056423,50,wordfreq,v3.2,zipf-linear-v1,false
REGULAR,mean_score,B,C,0.9128931572629052,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,mean_score,A,B,0.9004081632653061,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,mean_score,A,C,0.9566866746698679,50,wordfreq,v3.2,zipf-linear-v1,false
STRONG,mean_score,B,C,0.9355582232893157,50,wordfreq,v3.2,zipf-linear-v1,false
