puzzle_id,model,rare_word_dependency,familiarity_source,source_version,normalization_version,fallback_used
WATERMELON,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
WATERMELON,STRONG,0.9970760233918128,wordfreq,v3.2,zipf-linear-v1,false
OSCILLATED,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
OSCILLATED,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ABANDONING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABANDONING,STRONG,0.9936104599677033,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTELY,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTELY,STRONG,0.9825979089136984,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,STRONG,0.9966329966329966,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTING,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,STRONG,0.9846802239905689,wordfreq,v3.2,zipf-linear-v1,false
AGGRAVATED,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
AGGRAVATED,STRONG,0.9971751412429378,wordfreq,v3.2,zipf-linear-v1,false
AFTERTASTE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
AFTERTASTE,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
AFFORDABLE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
AFFORDABLE,STRONG,0.9862901937610129,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,STRONG,0.9976525821596244,wordfreq,v3.2,zipf-linear-v1,false
ABDICATING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABDICATING,STRONG,0.9954094018980357,wordfreq,v3.2,zipf-linear-v1,false
ABDUCTIONS,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABDUCTIONS,STRONG,0.9974747474747474,wordfreq,v3.2,zipf-linear-v1,false
ABHORRENCE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABHORRENCE,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ABOLISHING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABOLISHING,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ABROGATING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABROGATING,STRONG,0.9964539007092199,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTISM,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTISM,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTIST,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTIST,STRONG,0.9948717948717949,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ABSTAINING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABSTAINING,STRONG,0.9945799457994581,wordfreq,v3.2,zipf-linear-v1,false
ABSTENTION,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABSTENTION,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ABYSSINIAN,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ABYSSINIAN,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ACCELERANT,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCELERANT,STRONG,0.993939393939394,wordfreq,v3.2,zipf-linear-v1,false
ACCEPTABLE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCEPTABLE,STRONG,0.9873015873015873,wordfreq,v3.2,zipf-linear-v1,false
ACCIDENTAL,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCIDENTAL,STRONG,0.9921617677715239,wordfreq,v3.2,zipf-linear-v1,false
ACCLAIMING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCLAIMING,STRONG,0.9971509971509972,wordfreq,v3.2,zipf-linear-v1,false
ACCLIMATED,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCLIMATED,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ACCORDIONS,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCORDIONS,STRONG,0.9954337899543378,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,STRONG,0.9966329966329966,wordfreq,v3.2,zipf-linear-v1,false
ACCREDITED,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCREDITED,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
