puzzle_id,regular_gold_rate,strong_gold_rate,regular_median_score,strong_median_score,gold_gap,score_gap,familiarity_source,source_version,normalization_version,fallback_used
WATERMELON,0.11466666666666665,0.22266666666666668,83.66666666666667,89.33333333333333,0.10800000000000003,5.666666666666657,wordfreq,v3.2,zipf-linear-v1,false
OSCILLATED,0.04666666666666667,0.10066666666666668,80.33333333333333,85,0.05400000000000001,4.666666666666671,wordfreq,v3.2,zipf-linear-v1,false
ABANDONING,0.1386666666666667,0.3133333333333333,84.33333333333333,92,0.1746666666666666,7.666666666666671,wordfreq,v3.2,zipf-linear-v1,false
ABSOLUTELY,0.06666666666666667,0.19266666666666668,80.33333333333333,87.33333333333333,0.126,7,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,0.11,0.22466666666666665,82.33333333333333,89.33333333333333,0.11466666666666665,7,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTING,0.03466666666666667,0.12933333333333333,80.33333333333333,87,0.09466666666666665,6.666666666666671,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,0.06666666666666667,0.132,80.33333333333333,85,0.06533333333333334,4.666666666666671,wordfreq,v3.2,zipf-linear-v1,false
AGGRAVATED,0.07733333333333334,0.21666666666666665,81.66666666666667,89,0.1393333333333333,7.333333333333329,wordfreq,v3.2,zipf-linear-v1,false
AFTERTASTE,0.050666666666666665,0.12933333333333333,80,87,0.07866666666666666,7,wordfreq,v3.2,zipf-linear-v1,false
AFFORDABLE,0.18000000000000002,0.29600000000000004,86.33333333333333,92,0.11600000000000002,5.666666666666671,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,0.09133333333333334,0.28533333333333327,84,92.33333333333333,0.19399999999999995,8.333333333333329,wordfreq,v3.2,zipf-linear-v1,false
ABDICATING,0.20066666666666666,0.422,87.33333333333333,97,0.22133333333333333,9.666666666666671,wordfreq,v3.2,zipf-linear-v1,false
ABDUCTIONS,0.09200000000000001,0.254,82.33333333333333,89.66666666666667,0.16199999999999998,7.333333333333343,wordfreq,v3.2,zipf-linear-v1,false
ABHORRENCE,0.11,0.19400000000000003,82.33333333333333,88,0.08400000000000003,5.666666666666671,wordfreq,v3.2,zipf-linear-v1,false
ABOLISHING,0.126,0.25133333333333335,84,90.66666666666667,0.12533333333333335,6.666666666666671,wordfreq,v3.2,zipf-linear-v1,false
ABROGATING,0.07400000000000001,0.17666666666666667,80.66666666666667,87.33333333333333,0.10266666666666666,6.666666666666657,wordfreq,v3.2,zipf-linear-v1,false
