answer,generation_ms,certification_ms,cheap_metrics_ms,regular_simulation_ms,strong_simulation_ms,total_ms,candidate_count,shortlist_count,finalist_count
WATERMELON,1246.468592,1204.7341390000001,1287.312108,7963.337488,4742.166519,16019.260082,10,5,3
OSCILLATED,1015.933672,995.006356,1130.969659,7850.497023,4783.04432,15508.669232,10,5,3
ABANDONING,1093.174909,1090.91204,1238.555734,8148.774404,4758.585976,15974.874566,10,5,3
ABSOLUTELY,1020.549714,1018.2048769999999,1166.174215,7764.880932,4704.740369,15265.539014,10,5,3
ACCESSIBLE,938.736238,936.5789299999998,1081.774745,7865.661677,4860.537245,15397.692646,10,5,3
ACCOUNTING,1116.933137,1114.769596,1284.9612,8199.763758,5103.761184,16357.876413,10,5,3
ADVENTURES,979.284828,977.1083590000001,1167.769543,7833.347835,4772.605827,15362.188328,10,5,3
AGGRAVATED,1014.099704,1011.6447160000001,1178.542703,7871.083808,4689.90244,15385.296542,10,5,3
AFTERTASTE,1085.102682,1082.850268,1294.544036,8114.194215,4743.516053,15852.579196,10,5,3
AFFORDABLE,933.004174,930.817407,1033.858683,8010.242665,4708.407011,15470.74143,10,5,3
ABATEMENTS,1240.915439,1238.976585,1362.132904,8261.974195,4779.703011,16293.140642,10,5,3
ABDICATING,997.454003,995.5876559999999,1129.222663,8151.07212,4506.260244,15549.467765,10,5,3
ABDUCTIONS,1059.867036,1057.802441,1090.090131,8164.749381,4660.517096,15628.7861,10,5,3
ABHORRENCE,926.780205,924.9299500000001,1029.126991,7834.205703,4558.716722,15002.306737,10,5,3
ABOLISHING,1003.821791,1002.062546,1148.192118,7938.552545,4465.938504,15177.096806,10,5,3
ABROGATING,1065.904009,1064.0793449999999,1326.662623,8190.941205,4847.477122,16126.521397,10,5,3
ABSOLUTISM,1058.617531,1056.763305,1218.213254,8078.67506,4852.520372,15836.950406,10,5,3
ABSOLUTIST,1134.320783,1132.5555729999999,1289.56918,8030.465272,5164.976732,16286.249308,10,5,3
ABSORPTION,1079.20464,1077.332932,1238.73271,8160.680292,4928.251126,16067.585105,10,5,3
ABSTAINING,1061.580951,1059.764129,1215.925842,8209.152698,5167.524343,16308.093636,10,5,3
ABSTENTION,1169.001427,1167.2585840000002,1329.355491,8426.296302,5298.628971,16920.514744,10,5,3
ABSTINENCE,1127.155141,1125.3824299999999,1189.485033,7900.18406,4799.494366,15735.705437,10,5,3
ABYSSINIAN,1127.694589,1125.8695500000001,1375.530977,8247.486975,5122.639183,16606.384204,10,5,3
ACCELERANT,1037.837612,1036.0560130000001,1243.572165,8794.63281,3999.133589,15760.187396,10,5,3
ACCEPTABLE,1053.63882,1051.80977,1182.475421,8129.601109,4741.290921,15801.695997,10,5,3
ACCIDENTAL,1037.620833,1035.679458,1172.630668,8022.850238,4845.1888,15704.511618,10,5,3
ACCLAIMING,1018.100627,1016.2424,1195.856724,8092.892855,4603.453939,15565.683945,10,5,3
ACCLIMATED,988.421437,986.642183,1118.171256,7819.583469,4694.437843,15407.578822,10,5,3
ACCORDIONS,1154.358667,1152.521017,1316.566612,8320.561021,5079.716036,16530.663145,10,5,3
ACCOUNTANT,1052.03657,1050.205558,1235.793086,8127.814467,4849.383156,15910.00827,10,5,3
