answer,certified_candidates,shortlist_size,preferred_candidates_by_full_REGULAR_profile,preferred_candidates_retained,recall
WATERMELON,10,5,4,1,0.25
OSCILLATED,10,5,4,3,0.75
ABANDONING,10,5,4,1,0.25
ABSOLUTELY,10,5,4,2,0.5
ACCESSIBLE,10,5,4,0,0
ACCOUNTING,10,5,4,2,0.5
ADVENTURES,10,5,4,2,0.5
AGGRAVATED,10,5,4,2,0.5
AFTERTASTE,10,5,4,1,0.25
AFFORDABLE,10,5,4,0,0
ABATEMENTS,10,5,4,1,0.25
ABDICATING,10,5,4,3,0.75
ABDUCTIONS,10,5,4,3,0.75
ABHORRENCE,10,5,4,2,0.5
ABOLISHING,10,5,4,1,0.25
ABROGATING,10,5,4,2,0.5
ABSOLUTISM,10,5,4,1,0.25
ABSOLUTIST,10,5,4,0,0
ABSORPTION,10,5,4,2,0.5
ABSTAINING,10,5,4,3,0.75
ABSTENTION,10,5,4,1,0.25
ABSTINENCE,10,5,4,2,0.5
ABYSSINIAN,10,5,4,2,0.5
ACCELERANT,10,5,4,1,0.25
ACCEPTABLE,10,5,4,2,0.5
ACCIDENTAL,10,5,4,2,0.5
ACCLAIMING,10,5,4,3,0.75
ACCLIMATED,10,5,4,2,0.5
ACCORDIONS,10,5,4,1,0.25
ACCOUNTANT,10,5,4,1,0.25
