answer,low_runs,shortlist_size,reference_selected_band,staged_selected_band,same_band,adjacent_band,reference_regular_mean,staged_regular_mean,mean_delta
WATERMELON,25,5,middle,middle,true,true,81.844,82.384,0.5400000000000063
WATERMELON,50,5,middle,middle,true,true,81.844,82.384,0.5400000000000063
WATERMELON,75,5,middle,middle,true,true,81.844,81.722,-0.12199999999999989
WATERMELON,100,5,middle,middle,true,true,81.844,82.384,0.5400000000000063
WATERMELON,150,5,middle,middle,true,true,81.844,82.384,0.5400000000000063
WATERMELON,250,5,middle,middle,true,true,81.844,81.722,-0.12199999999999989
OSCILLATED,25,5,middle,middle,true,true,82.436,81.944,-0.49200000000000443
OSCILLATED,50,5,middle,middle,true,true,82.436,82.436,0
OSCILLATED,75,5,middle,middle,true,true,82.436,82.908,0.4719999999999942
OSCILLATED,100,5,middle,middle,true,true,82.436,81.944,-0.49200000000000443
OSCILLATED,150,5,middle,harder,false,true,82.436,81.772,-0.6640000000000015
OSCILLATED,250,5,middle,middle,true,true,82.436,81.944,-0.49200000000000443
ABANDONING,25,5,middle,middle,true,true,82.334,82.136,-0.1980000000000075
ABANDONING,50,5,middle,middle,true,true,82.334,82.632,0.2980000000000018
ABANDONING,75,5,middle,middle,true,true,82.334,82.632,0.2980000000000018
ABANDONING,100,5,middle,middle,true,true,82.334,82.136,-0.1980000000000075
ABANDONING,150,5,middle,harder,false,true,82.334,82.114,-0.21999999999999886
ABANDONING,250,5,middle,middle,true,true,82.334,82.136,-0.1980000000000075
ABSOLUTELY,25,5,middle,harder,false,true,81.898,80.6,-1.2980000000000018
ABSOLUTELY,50,5,middle,middle,true,true,81.898,82.32,0.42199999999999704
ABSOLUTELY,75,5,middle,harder,false,true,81.898,80.944,-0.9539999999999935
ABSOLUTELY,100,5,middle,easier,false,true,81.898,82.69,0.7920000000000016
ABSOLUTELY,150,5,middle,middle,true,true,81.898,81.612,-0.28600000000000136
ABSOLUTELY,250,5,middle,middle,true,true,81.898,82.32,0.42199999999999704
ACCESSIBLE,25,5,middle,harder,false,true,83.612,81.434,-2.1779999999999973
ACCESSIBLE,50,5,middle,harder,false,true,83.612,81.434,-2.1779999999999973
ACCESSIBLE,75,5,middle,middle,true,true,83.612,82.854,-0.7579999999999956
ACCESSIBLE,100,5,middle,middle,true,true,83.612,83.612,0
ACCESSIBLE,150,5,middle,middle,true,true,83.612,83.612,0
ACCESSIBLE,250,5,middle,middle,true,true,83.612,83.612,0
ACCOUNTING,25,5,middle,easier,false,true,82.626,83.082,0.45599999999998886
ACCOUNTING,50,5,middle,middle,true,true,82.626,82.626,0
ACCOUNTING,75,5,middle,middle,true,true,82.626,82.58,-0.04600000000000648
ACCOUNTING,100,5,middle,middle,true,true,82.626,82.58,-0.04600000000000648
ACCOUNTING,150,5,middle,middle,true,true,82.626,83.078,0.4519999999999982
ACCOUNTING,250,5,middle,middle,true,true,82.626,82.58,-0.04600000000000648
