answer,status
WATERMELON,evaluated
OSCILLATED,evaluated
ABANDONING,evaluated
ABSOLUTELY,evaluated
ACCESSIBLE,evaluated
ACCOUNTING,evaluated
ADVENTURES,evaluated
AGGRAVATED,evaluated
AFTERTASTE,evaluated
AFFORDABLE,evaluated
ABATEMENTS,evaluated
ABDICATING,evaluated
ABDUCTIONS,evaluated
ABHORRENCE,evaluated
ABOLISHING,evaluated
ABROGATING,evaluated
ABSOLUTISM,evaluated
ABSOLUTIST,evaluated
ABSORPTION,evaluated
ABSTAINING,evaluated
ABSTENTION,evaluated
ABSTINENCE,evaluated
ABYSSINIAN,evaluated
ACCELERANT,evaluated
ACCEPTABLE,evaluated
ACCIDENTAL,evaluated
ACCLAIMING,evaluated
ACCLIMATED,evaluated
ACCORDIONS,evaluated
ACCOUNTANT,evaluated
