answer,method,low_runs,shortlist_size,recall,zero_recall,winner_recall,runtime_ms
WATERMELON,M9_math_only,,5,0.6666666666666666,false,true,1229.469287
WATERMELON,low_mean,100,5,1,false,true,5657.1771276
WATERMELON,low_median,100,5,1,false,true,5657.1771276
WATERMELON,low_gold,100,5,0.6666666666666666,false,false,5657.1771276
WATERMELON,band_aware,100,5,1,false,true,5657.1771276
WATERMELON,confidence_aware,100,5,1,false,true,5657.1771276
WATERMELON,hybrid_regular_cheap,100,5,1,false,true,5657.1771276
OSCILLATED,M9_math_only,,5,0.6666666666666666,false,false,1262.431757
OSCILLATED,low_mean,100,5,1,false,true,5851.8123378
OSCILLATED,low_median,100,5,0.3333333333333333,false,false,5851.8123378
OSCILLATED,low_gold,100,5,1,false,true,5851.8123378
OSCILLATED,band_aware,100,5,1,false,true,5851.8123378
OSCILLATED,confidence_aware,100,5,1,false,true,5851.8123378
OSCILLATED,hybrid_regular_cheap,100,5,1,false,true,5851.8123378
ABANDONING,M9_math_only,,5,0.6666666666666666,false,false,1017.365981
ABANDONING,low_mean,100,5,0.6666666666666666,false,false,5757.4223302
ABANDONING,low_median,100,5,0.6666666666666666,false,false,5757.4223302
ABANDONING,low_gold,100,5,0,true,false,5757.4223302
ABANDONING,band_aware,100,5,0.6666666666666666,false,false,5757.4223302
ABANDONING,confidence_aware,100,5,0.6666666666666666,false,false,5757.4223302
ABANDONING,hybrid_regular_cheap,100,5,0.6666666666666666,false,false,5757.4223302
ABSOLUTELY,M9_math_only,,5,0.6666666666666666,false,true,1008.805733
ABSOLUTELY,low_mean,100,5,0.3333333333333333,false,false,5704.2171188
ABSOLUTELY,low_median,100,5,0.3333333333333333,false,false,5704.2171188
ABSOLUTELY,low_gold,100,5,0.6666666666666666,false,true,5704.2171188
ABSOLUTELY,band_aware,100,5,0.3333333333333333,false,false,5704.2171188
ABSOLUTELY,confidence_aware,100,5,0.3333333333333333,false,false,5704.2171188
ABSOLUTELY,hybrid_regular_cheap,100,5,0.3333333333333333,false,false,5704.2171188
ACCESSIBLE,M9_math_only,,5,1,false,true,1035.655297
ACCESSIBLE,low_mean,100,5,1,false,true,5659.974883999999
ACCESSIBLE,low_median,100,5,0.6666666666666666,false,true,5659.974883999999
ACCESSIBLE,low_gold,100,5,1,false,true,5659.974883999999
ACCESSIBLE,band_aware,100,5,1,false,true,5659.974883999999
ACCESSIBLE,confidence_aware,100,5,1,false,true,5659.974883999999
ACCESSIBLE,hybrid_regular_cheap,100,5,1,false,true,5659.974883999999
ACCOUNTING,M9_math_only,,5,0.3333333333333333,false,false,952.959876
ACCOUNTING,low_mean,100,5,0.6666666666666666,false,false,5444.6583718
ACCOUNTING,low_median,100,5,0.6666666666666666,false,false,5444.6583718
ACCOUNTING,low_gold,100,5,1,false,true,5444.6583718
ACCOUNTING,band_aware,100,5,0.6666666666666666,false,false,5444.6583718
ACCOUNTING,confidence_aware,100,5,0.6666666666666666,false,false,5444.6583718
ACCOUNTING,hybrid_regular_cheap,100,5,0.6666666666666666,false,false,5444.6583718
ADVENTURES,M9_math_only,,5,0.6666666666666666,false,false,1097.219468
ADVENTURES,low_mean,100,5,1,false,true,5793.7423928
ADVENTURES,low_median,100,5,0.6666666666666666,false,false,5793.7423928
ADVENTURES,low_gold,100,5,0.6666666666666666,false,true,5793.7423928
ADVENTURES,band_aware,100,5,1,false,true,5793.7423928
ADVENTURES,confidence_aware,100,5,1,false,true,5793.7423928
ADVENTURES,hybrid_regular_cheap,100,5,1,false,true,5793.7423928
AGGRAVATED,M9_math_only,,5,0.6666666666666666,false,false,925.846095
AGGRAVATED,low_mean,100,5,1,false,true,5443.4037812
AGGRAVATED,low_median,100,5,1,false,true,5443.4037812
AGGRAVATED,low_gold,100,5,0.3333333333333333,false,true,5443.4037812
AGGRAVATED,band_aware,100,5,1,false,true,5443.4037812
AGGRAVATED,confidence_aware,100,5,1,false,true,5443.4037812
AGGRAVATED,hybrid_regular_cheap,100,5,1,false,true,5443.4037812
AFTERTASTE,M9_math_only,,5,0.6666666666666666,false,true,1112.419456
AFTERTASTE,low_mean,100,5,1,false,true,5762.1599132
AFTERTASTE,low_median,100,5,0.3333333333333333,false,false,5762.1599132
AFTERTASTE,low_gold,100,5,0.3333333333333333,false,false,5762.1599132
AFTERTASTE,band_aware,100,5,1,false,true,5762.1599132
AFTERTASTE,confidence_aware,100,5,1,false,true,5762.1599132
AFTERTASTE,hybrid_regular_cheap,100,5,1,false,true,5762.1599132
AFFORDABLE,M9_math_only,,5,0.6666666666666666,false,true,1015.183525
AFFORDABLE,low_mean,100,5,1,false,true,5697.3021932
AFFORDABLE,low_median,100,5,1,false,true,5697.3021932
AFFORDABLE,low_gold,100,5,0.6666666666666666,false,false,5697.3021932
AFFORDABLE,band_aware,100,5,1,false,true,5697.3021932
AFFORDABLE,confidence_aware,100,5,1,false,true,5697.3021932
AFFORDABLE,hybrid_regular_cheap,100,5,1,false,true,5697.3021932
ABATEMENTS,M9_math_only,,5,0.6666666666666666,false,false,1048.457563
ABATEMENTS,low_mean,100,5,0.6666666666666666,false,true,2937.7771048
ABATEMENTS,low_median,100,5,0.6666666666666666,false,true,2937.7771048
ABATEMENTS,low_gold,100,5,1,false,true,2937.7771048
ABATEMENTS,band_aware,100,5,0.6666666666666666,false,true,2937.7771048
ABATEMENTS,confidence_aware,100,5,0.6666666666666666,false,true,2937.7771048
ABATEMENTS,hybrid_regular_cheap,100,5,0.6666666666666666,false,true,2937.7771048
ABDICATING,M9_math_only,,5,0,true,false,1018.003366
ABDICATING,low_mean,100,5,0.6666666666666666,false,false,2990.2311154
ABDICATING,low_median,100,5,1,false,true,2990.2311154
ABDICATING,low_gold,100,5,0.3333333333333333,false,false,2990.2311154
ABDICATING,band_aware,100,5,0.6666666666666666,false,false,2990.2311154
ABDICATING,confidence_aware,100,5,0.6666666666666666,false,false,2990.2311154
ABDICATING,hybrid_regular_cheap,100,5,0.6666666666666666,false,false,2990.2311154
ABDUCTIONS,M9_math_only,,5,0.3333333333333333,false,true,1014.506366
