answer,pool_size,generated,certified,preferred_count,reference_winner,preferred_mean_score,winner_score,generation_ms,simulation_ms
WATERMELON,10,10,10,3,66dc436d,82.20533333333334,82.348,1196.41773,6851.659043
WATERMELON,15,15,15,5,b3578924,82.4736,82.416,1661.137484,10015.580456
WATERMELON,20,20,20,7,b3578924,82.44342857142858,82.416,2032.298687,13482.471014999997
OSCILLATED,10,10,10,3,82de5d9c,81.82933333333332,82.076,1006.839567,6726.8854870000005
OSCILLATED,15,15,15,5,159fb04e,82.5912,82.5,1540.915877,10672.156657
OSCILLATED,20,20,20,7,159fb04e,82.33314285714286,82.5,2028.468404,13723.537445000002
ABANDONING,10,10,10,3,e8e28275,82.00533333333334,81.816,1008.335425,6978.685995000001
ABANDONING,15,15,15,5,e8e28275,81.816,81.816,1533.680868,10426.600682999999
ABANDONING,20,20,20,7,e8e28275,81.87028571428571,81.816,2145.462576,13791.231035000003
ABSOLUTELY,10,10,10,3,399b4ef7,83.88933333333334,84.036,1105.053785,7059.95124
ABSOLUTELY,15,15,15,5,399b4ef7,83.9256,84.036,1668.832676,10612.234109
ABSOLUTELY,20,20,20,7,b9a69d4a,83.76228571428571,83.656,2346.429151,14134.287856999998
ACCESSIBLE,10,10,10,3,d21b367e,81.62133333333333,81.62,1027.635709,6980.333133
ACCESSIBLE,15,15,15,5,b08935cd,82.10240000000002,81.98,1565.879151,10410.484602
ACCESSIBLE,20,20,20,7,b143125e,82.32457142857143,82.364,2131.942032,13880.633164
