answer,pool_size,candidate_id,reference_mean_score,reference_band,cheap_metric
WATERMELON,10,83d8d511,85.124,easier,5888
WATERMELON,10,4681511a,81.088,harder,4092
WATERMELON,10,8d07396f,82.384,middle,5610
WATERMELON,10,b7fb4008,77.958,harder,4227
WATERMELON,10,ee0d57a5,81.722,middle,4380
WATERMELON,10,ec9bd61e,82.842,easier,4914
WATERMELON,10,79eef5e3,83.39,easier,5510
WATERMELON,10,532d5efc,84.374,easier,6186
WATERMELON,10,996c2929,81.844,middle,5238
WATERMELON,10,1e1dad12,80.736,harder,5088
OSCILLATED,10,6157a4aa,81.772,harder,5370
OSCILLATED,10,aadc17a1,82.908,middle,5668
OSCILLATED,10,41f4a698,81.944,middle,5573
OSCILLATED,10,48b552ff,84.21,easier,6120
OSCILLATED,10,b292482e,82.436,middle,6176
OSCILLATED,10,f08f48b5,83.804,easier,5820
OSCILLATED,10,dd123ecc,81.674,harder,5642
OSCILLATED,10,294e9233,83.654,easier,5365
OSCILLATED,10,38798862,80.046,harder,4311
OSCILLATED,10,f18314f9,84.014,easier,5912
ABANDONING,10,c66010f,84.626,easier,6042
ABANDONING,10,7c9afa28,82.334,middle,4609
ABANDONING,10,ba14beb1,81.202,harder,4923
ABANDONING,10,3af37ba,83.306,easier,5448
ABANDONING,10,2ee70183,82.136,middle,5729
ABANDONING,10,f70d781c,81.774,harder,5890
ABANDONING,10,b706fcc5,82.114,harder,4444
ABANDONING,10,58d2eebe,82.632,middle,4623
ABANDONING,10,3d7b8027,82.928,easier,5224
ABANDONING,10,921fcc60,84.474,easier,6251
ABSOLUTELY,10,e8d1b460,84.962,easier,6415
ABSOLUTELY,10,942d6827,82.32,middle,5983
ABSOLUTELY,10,3c8c05b2,82.69,easier,5174
ABSOLUTELY,10,3af28e49,80.6,harder,4662
ABSOLUTELY,10,c006b314,84.006,easier,6327
ABSOLUTELY,10,113a5b7b,82.698,easier,4631
ABSOLUTELY,10,b018c4b6,80.376,harder,4636
ABSOLUTELY,10,aa4ae0fd,81.612,middle,5119
ABSOLUTELY,10,d34ce228,81.898,middle,5032
ABSOLUTELY,10,6317e90f,80.944,harder,5143
ACCESSIBLE,10,6037a645,83.978,easier,4804
ACCESSIBLE,10,203983e,82.854,middle,5125
ACCESSIBLE,10,d817ab03,83.812,easier,5878
ACCESSIBLE,10,a03e219c,80.13,harder,4814
ACCESSIBLE,10,63456831,80.37,harder,4654
ACCESSIBLE,10,acdfe13a,83.612,middle,4711
ACCESSIBLE,10,b596aa8f,84.634,easier,5782
ACCESSIBLE,10,25cba3a8,83.79,middle,5337
ACCESSIBLE,10,fcc9a27d,81.434,harder,4009
ACCESSIBLE,10,2978636,88.872,easier,5899
ACCOUNTING,10,bfdc84e,82.054,harder,5060
ACCOUNTING,10,6331b2d5,83.482,easier,5501
ACCOUNTING,10,36cb3dec,83.706,easier,5574
ACCOUNTING,10,6230dcd3,79.176,harder,4539
ACCOUNTING,10,a2fe77ca,83.082,easier,4997
ACCOUNTING,10,f26db3c1,83.078,middle,5727
ACCOUNTING,10,64038cb8,83.262,easier,5752
ACCOUNTING,10,3013559f,82.398,harder,5701
ACCOUNTING,10,a060de06,82.58,middle,5348
ACCOUNTING,10,d319248d,82.626,middle,5768
ADVENTURES,10,deea0723,81.282,harder,5794
ADVENTURES,10,8922243c,81.146,harder,5624
ADVENTURES,10,7f8194e5,83.84,middle,5307
ADVENTURES,10,7e10135e,83.752,middle,5279
ADVENTURES,10,d5ba83af,83.982,easier,6374
ADVENTURES,10,75ae8e48,84.604,easier,6366
ADVENTURES,10,b9cd9a51,84.1,easier,6270
ADVENTURES,10,7c76165a,83.686,middle,5729
ADVENTURES,10,4132179b,84.004,easier,5773
ADVENTURES,10,88a726b4,81.478,harder,5051
AGGRAVATED,10,df590eb4,83.062,easier,5465
AGGRAVATED,10,97e3ff9b,82.27,easier,4793
AGGRAVATED,10,e97cee56,84.94,easier,4714
AGGRAVATED,10,8cc75c1d,81.51,harder,4693
AGGRAVATED,10,6af6d100,80.362,harder,4286
AGGRAVATED,10,7a572bc7,82.002,middle,5155
AGGRAVATED,10,64caa252,82.084,middle,5032
AGGRAVATED,10,585a9569,82.774,easier,5537
AGGRAVATED,10,dfd40c3c,80.374,harder,4903
AGGRAVATED,10,359bef23,81.92,middle,4779
AFTERTASTE,10,32883169,81.802,harder,4727
