answer,generation_ms,certification_ms,low_run_regular_ms,high_run_regular_ms,strong_ms,total_staged_ms
WATERMELON,1229.469287,118.39503529999999,5657.1771276,22628.7085104,4719.640401,34234.995326
OSCILLATED,1262.431757,123.35763670000001,5851.8123378,23407.2493512,5310.154733,35831.648179
ABANDONING,1017.365981,101.5100934,5757.4223302,23029.6893208,5043.064704,34847.542336
ABSOLUTELY,1008.805733,100.65185360000001,5704.2171188,22816.8684752,4849.087041,34378.978368000004
ACCESSIBLE,1035.655297,103.32648279999998,5659.974883999999,22639.899535999997,4660.405718,33995.935435
ACCOUNTING,952.959876,95.0757237,5444.6583718,21778.6334872,4825.285548,33001.537283
ADVENTURES,1097.219468,109.47128030000002,5793.7423928,23174.9695712,4818.905891,34884.837323
AGGRAVATED,925.846095,92.32969490000002,5443.4037812,21773.6151248,4699.67024,32842.535241
AFTERTASTE,1112.419456,110.98288090000001,5762.1599132,23048.6396528,5006.932267,34930.151289
AFFORDABLE,1015.183525,101.2857459,5697.3021932,22789.2087728,5009.680953,34511.375444000005
ABATEMENTS,1048.457563,104.6537251,2937.7771048,11751.1084192,4765.523327,20502.866414
ABDICATING,1018.003366,101.6099258,2990.2311154,11960.9244616,5011.576002,20980.734944999997
ABDUCTIONS,1014.506366,101.2593256,2961.5512142,11846.2048568,4780.675743,20602.938179999997
ABHORRENCE,898.23932,89.63549979999999,2841.4759996000003,11365.903998400001,4694.317406,19799.936724
ABOLISHING,1015.811601,101.3954442,2982.069954,11928.279816,4738.129929,20664.2913
ABROGATING,1010.933244,100.89620900000001,2960.5763744,11842.3054976,4902.765608,20716.580724
ABSOLUTISM,1031.07684,102.9115493,2937.1275119999996,11748.510047999998,4915.493471,20632.207871
ABSOLUTIST,1045.987312,104.3933218,2957.160093,11828.640372,4925.476617,20757.264393999998
ABSORPTION,993.90935,99.1915788,2897.3777704,11589.5110816,4656.035587,20136.833789
ABSTAINING,1174.873538,117.30295310000001,3131.6376362,12526.5505448,4857.661116,21690.722835
ABSTENTION,1041.253388,103.7012844,2937.5551612,11750.2206448,5066.963518,20795.992712
ABSTINENCE,1020.915034,101.9068582,2989.3118728,11957.2474912,4790.018994,20757.493392
ABYSSINIAN,1013.413339,101.1605215,2963.7349266,11854.9397064,4874.505811,20706.593783
ACCELERANT,1028.150802,102.63639799999999,3012.9825772000004,12051.930308800002,5034.207318,21127.271006000003
ACCEPTABLE,967.23108,96.54373960000001,2999.6784622,11998.7138488,4799.830508,20765.453899
ACCIDENTAL,1003.166712,100.13013010000002,3014.6485174000004,12058.594069600002,5109.708777,21186.118076000002
ACCLAIMING,1020.751369,101.8890141,3095.575213,12382.300852,5013.58496,21512.212394000002
ACCLIMATED,1035.508513,103.36618630000001,2961.2264692000003,11844.905876800001,4608.951333,20450.592192000004
ACCORDIONS,1053.127009,105.13246490000002,2980.3501063999997,11921.400425599999,4631.81648,20586.694021
ACCOUNTANT,869.218427,86.7729857,3090.3691186,12361.4764744,4952.422634,21273.486654
