answer,method,reference_winner,staged_winner,same_candidate,reference_band,staged_band,same_band,adjacent_band,reference_regular_mean,staged_regular_mean,mean_delta,selection_regret_percentile
WATERMELON,low_mean,996c2929,8d07396f,false,middle,middle,true,true,81.844,82.384,0.5400000000000063,0
WATERMELON,low_median,996c2929,8d07396f,false,middle,middle,true,true,81.844,82.384,0.5400000000000063,0
WATERMELON,low_gold,996c2929,8d07396f,false,middle,middle,true,true,81.844,82.384,0.5400000000000063,0
WATERMELON,band_aware,996c2929,8d07396f,false,middle,middle,true,true,81.844,82.384,0.5400000000000063,0
WATERMELON,confidence_aware,996c2929,8d07396f,false,middle,middle,true,true,81.844,82.384,0.5400000000000063,0
WATERMELON,hybrid_regular_cheap,996c2929,8d07396f,false,middle,middle,true,true,81.844,82.384,0.5400000000000063,0
OSCILLATED,low_mean,b292482e,41f4a698,false,middle,middle,true,true,82.436,81.944,-0.49200000000000443,0
OSCILLATED,low_median,b292482e,294e9233,false,middle,easier,false,true,82.436,83.654,1.2179999999999893,0
OSCILLATED,low_gold,b292482e,41f4a698,false,middle,middle,true,true,82.436,81.944,-0.49200000000000443,0
OSCILLATED,band_aware,b292482e,41f4a698,false,middle,middle,true,true,82.436,81.944,-0.49200000000000443,0
OSCILLATED,confidence_aware,b292482e,41f4a698,false,middle,middle,true,true,82.436,81.944,-0.49200000000000443,0
OSCILLATED,hybrid_regular_cheap,b292482e,41f4a698,false,middle,middle,true,true,82.436,81.944,-0.49200000000000443,0
ABANDONING,low_mean,7c9afa28,58d2eebe,false,middle,middle,true,true,82.334,82.632,0.2980000000000018,0
ABANDONING,low_median,7c9afa28,3d7b8027,false,middle,easier,false,true,82.334,82.928,0.5939999999999941,0
ABANDONING,low_gold,7c9afa28,f70d781c,false,middle,harder,false,true,82.334,81.774,-0.5600000000000023,0
ABANDONING,band_aware,7c9afa28,58d2eebe,false,middle,middle,true,true,82.334,82.632,0.2980000000000018,0
ABANDONING,confidence_aware,7c9afa28,58d2eebe,false,middle,middle,true,true,82.334,82.632,0.2980000000000018,0
ABANDONING,hybrid_regular_cheap,7c9afa28,58d2eebe,false,middle,middle,true,true,82.334,82.632,0.2980000000000018,0
ABSOLUTELY,low_mean,d34ce228,3c8c05b2,false,middle,easier,false,true,81.898,82.69,0.7920000000000016,0
ABSOLUTELY,low_median,d34ce228,6317e90f,false,middle,harder,false,true,81.898,80.944,-0.9539999999999935,0
ABSOLUTELY,low_gold,d34ce228,6317e90f,false,middle,harder,false,true,81.898,80.944,-0.9539999999999935,0
ABSOLUTELY,band_aware,d34ce228,3c8c05b2,false,middle,easier,false,true,81.898,82.69,0.7920000000000016,0
ABSOLUTELY,confidence_aware,d34ce228,3c8c05b2,false,middle,easier,false,true,81.898,82.69,0.7920000000000016,0
ABSOLUTELY,hybrid_regular_cheap,d34ce228,3c8c05b2,false,middle,easier,false,true,81.898,82.69,0.7920000000000016,0
ACCESSIBLE,low_mean,acdfe13a,acdfe13a,true,middle,middle,true,true,83.612,83.612,0,0
ACCESSIBLE,low_median,acdfe13a,acdfe13a,true,middle,middle,true,true,83.612,83.612,0,0
ACCESSIBLE,low_gold,acdfe13a,acdfe13a,true,middle,middle,true,true,83.612,83.612,0,0
ACCESSIBLE,band_aware,acdfe13a,acdfe13a,true,middle,middle,true,true,83.612,83.612,0,0
ACCESSIBLE,confidence_aware,acdfe13a,acdfe13a,true,middle,middle,true,true,83.612,83.612,0,0
