answer,method,low_runs,shortlist_size,certified_candidates,reference_preferred_count,preferred_retained,recall,reference_winner_retained,zero_preferred_retained,runtime_ms
WATERMELON,low_mean,25,4,10,3,2,0.6666666666666666,true,false,1414.2942819
WATERMELON,low_mean,25,5,10,3,3,1,true,false,1414.2942819
WATERMELON,low_mean,25,6,10,3,3,1,true,false,1414.2942819
WATERMELON,low_mean,25,7,10,3,3,1,true,false,1414.2942819
WATERMELON,low_mean,25,8,10,3,3,1,true,false,1414.2942819
WATERMELON,low_median,25,4,10,3,3,1,true,false,1414.2942819
WATERMELON,low_median,25,5,10,3,3,1,true,false,1414.2942819
WATERMELON,low_median,25,6,10,3,3,1,true,false,1414.2942819
WATERMELON,low_median,25,7,10,3,3,1,true,false,1414.2942819
WATERMELON,low_median,25,8,10,3,3,1,true,false,1414.2942819
WATERMELON,low_gold,25,4,10,3,1,0.3333333333333333,false,false,1414.2942819
WATERMELON,low_gold,25,5,10,3,2,0.6666666666666666,false,false,1414.2942819
WATERMELON,low_gold,25,6,10,3,2,0.6666666666666666,false,false,1414.2942819
WATERMELON,low_gold,25,7,10,3,3,1,true,false,1414.2942819
WATERMELON,low_gold,25,8,10,3,3,1,true,false,1414.2942819
WATERMELON,band_aware,25,4,10,3,2,0.6666666666666666,true,false,1414.2942819
WATERMELON,band_aware,25,5,10,3,3,1,true,false,1414.2942819
WATERMELON,band_aware,25,6,10,3,3,1,true,false,1414.2942819
WATERMELON,band_aware,25,7,10,3,3,1,true,false,1414.2942819
WATERMELON,band_aware,25,8,10,3,3,1,true,false,1414.2942819
WATERMELON,confidence_aware,25,4,10,3,2,0.6666666666666666,true,false,1414.2942819
WATERMELON,confidence_aware,25,5,10,3,3,1,true,false,1414.2942819
WATERMELON,confidence_aware,25,6,10,3,3,1,true,false,1414.2942819
WATERMELON,confidence_aware,25,7,10,3,3,1,true,false,1414.2942819
WATERMELON,confidence_aware,25,8,10,3,3,1,true,false,1414.2942819
WATERMELON,hybrid_regular_cheap,25,4,10,3,2,0.6666666666666666,true,false,1414.2942819
WATERMELON,hybrid_regular_cheap,25,5,10,3,3,1,true,false,1414.2942819
WATERMELON,hybrid_regular_cheap,25,6,10,3,3,1,true,false,1414.2942819
WATERMELON,hybrid_regular_cheap,25,7,10,3,3,1,true,false,1414.2942819
WATERMELON,hybrid_regular_cheap,25,8,10,3,3,1,true,false,1414.2942819
WATERMELON,low_mean,50,4,10,3,3,1,true,false,2828.5885638
WATERMELON,low_mean,50,5,10,3,3,1,true,false,2828.5885638
WATERMELON,low_mean,50,6,10,3,3,1,true,false,2828.5885638
WATERMELON,low_mean,50,7,10,3,3,1,true,false,2828.5885638
WATERMELON,low_mean,50,8,10,3,3,1,true,false,2828.5885638
WATERMELON,low_median,50,4,10,3,2,0.6666666666666666,true,false,2828.5885638
WATERMELON,low_median,50,5,10,3,3,1,true,false,2828.5885638
WATERMELON,low_median,50,6,10,3,3,1,true,false,2828.5885638
WATERMELON,low_median,50,7,10,3,3,1,true,false,2828.5885638
WATERMELON,low_median,50,8,10,3,3,1,true,false,2828.5885638
WATERMELON,low_gold,50,4,10,3,2,0.6666666666666666,false,false,2828.5885638
WATERMELON,low_gold,50,5,10,3,2,0.6666666666666666,false,false,2828.5885638
WATERMELON,low_gold,50,6,10,3,2,0.6666666666666666,false,false,2828.5885638
WATERMELON,low_gold,50,7,10,3,3,1,true,false,2828.5885638
WATERMELON,low_gold,50,8,10,3,3,1,true,false,2828.5885638
WATERMELON,band_aware,50,4,10,3,3,1,true,false,2828.5885638
WATERMELON,band_aware,50,5,10,3,3,1,true,false,2828.5885638
WATERMELON,band_aware,50,6,10,3,3,1,true,false,2828.5885638
WATERMELON,band_aware,50,7,10,3,3,1,true,false,2828.5885638
WATERMELON,band_aware,50,8,10,3,3,1,true,false,2828.5885638
WATERMELON,confidence_aware,50,4,10,3,3,1,true,false,2828.5885638
WATERMELON,confidence_aware,50,5,10,3,3,1,true,false,2828.5885638
WATERMELON,confidence_aware,50,6,10,3,3,1,true,false,2828.5885638
WATERMELON,confidence_aware,50,7,10,3,3,1,true,false,2828.5885638
WATERMELON,confidence_aware,50,8,10,3,3,1,true,false,2828.5885638
WATERMELON,hybrid_regular_cheap,50,4,10,3,3,1,true,false,2828.5885638
WATERMELON,hybrid_regular_cheap,50,5,10,3,3,1,true,false,2828.5885638
WATERMELON,hybrid_regular_cheap,50,6,10,3,3,1,true,false,2828.5885638
WATERMELON,hybrid_regular_cheap,50,7,10,3,3,1,true,false,2828.5885638
WATERMELON,hybrid_regular_cheap,50,8,10,3,3,1,true,false,2828.5885638
WATERMELON,low_mean,75,4,10,3,3,1,true,false,4242.8828457
WATERMELON,low_mean,75,5,10,3,3,1,true,false,4242.8828457
WATERMELON,low_mean,75,6,10,3,3,1,true,false,4242.8828457
WATERMELON,low_mean,75,7,10,3,3,1,true,false,4242.8828457
WATERMELON,low_mean,75,8,10,3,3,1,true,false,4242.8828457
WATERMELON,low_median,75,4,10,3,2,0.6666666666666666,true,false,4242.8828457
WATERMELON,low_median,75,5,10,3,3,1,true,false,4242.8828457
WATERMELON,low_median,75,6,10,3,3,1,true,false,4242.8828457
WATERMELON,low_median,75,7,10,3,3,1,true,false,4242.8828457
WATERMELON,low_median,75,8,10,3,3,1,true,false,4242.8828457
WATERMELON,low_gold,75,4,10,3,2,0.6666666666666666,true,false,4242.8828457
WATERMELON,low_gold,75,5,10,3,3,1,true,false,4242.8828457
WATERMELON,low_gold,75,6,10,3,3,1,true,false,4242.8828457
WATERMELON,low_gold,75,7,10,3,3,1,true,false,4242.8828457
WATERMELON,low_gold,75,8,10,3,3,1,true,false,4242.8828457
WATERMELON,band_aware,75,4,10,3,3,1,true,false,4242.8828457
WATERMELON,band_aware,75,5,10,3,3,1,true,false,4242.8828457
WATERMELON,band_aware,75,6,10,3,3,1,true,false,4242.8828457
WATERMELON,band_aware,75,7,10,3,3,1,true,false,4242.8828457
WATERMELON,band_aware,75,8,10,3,3,1,true,false,4242.8828457
WATERMELON,confidence_aware,75,4,10,3,3,1,true,false,4242.8828457
WATERMELON,confidence_aware,75,5,10,3,3,1,true,false,4242.8828457
WATERMELON,confidence_aware,75,6,10,3,3,1,true,false,4242.8828457
WATERMELON,confidence_aware,75,7,10,3,3,1,true,false,4242.8828457
WATERMELON,confidence_aware,75,8,10,3,3,1,true,false,4242.8828457
WATERMELON,hybrid_regular_cheap,75,4,10,3,3,1,true,false,4242.8828457
WATERMELON,hybrid_regular_cheap,75,5,10,3,3,1,true,false,4242.8828457
WATERMELON,hybrid_regular_cheap,75,6,10,3,3,1,true,false,4242.8828457
WATERMELON,hybrid_regular_cheap,75,7,10,3,3,1,true,false,4242.8828457
WATERMELON,hybrid_regular_cheap,75,8,10,3,3,1,true,false,4242.8828457
WATERMELON,low_mean,100,4,10,3,2,0.6666666666666666,true,false,5657.1771276
WATERMELON,low_mean,100,5,10,3,3,1,true,false,5657.1771276
WATERMELON,low_mean,100,6,10,3,3,1,true,false,5657.1771276
WATERMELON,low_mean,100,7,10,3,3,1,true,false,5657.1771276
WATERMELON,low_mean,100,8,10,3,3,1,true,false,5657.1771276
WATERMELON,low_median,100,4,10,3,2,0.6666666666666666,false,false,5657.1771276
WATERMELON,low_median,100,5,10,3,3,1,true,false,5657.1771276
WATERMELON,low_median,100,6,10,3,3,1,true,false,5657.1771276
WATERMELON,low_median,100,7,10,3,3,1,true,false,5657.1771276
WATERMELON,low_median,100,8,10,3,3,1,true,false,5657.1771276
WATERMELON,low_gold,100,4,10,3,1,0.3333333333333333,false,false,5657.1771276
WATERMELON,low_gold,100,5,10,3,2,0.6666666666666666,false,false,5657.1771276
WATERMELON,low_gold,100,6,10,3,3,1,true,false,5657.1771276
WATERMELON,low_gold,100,7,10,3,3,1,true,false,5657.1771276
WATERMELON,low_gold,100,8,10,3,3,1,true,false,5657.1771276
WATERMELON,band_aware,100,4,10,3,3,1,true,false,5657.1771276
WATERMELON,band_aware,100,5,10,3,3,1,true,false,5657.1771276
WATERMELON,band_aware,100,6,10,3,3,1,true,false,5657.1771276
WATERMELON,band_aware,100,7,10,3,3,1,true,false,5657.1771276
WATERMELON,band_aware,100,8,10,3,3,1,true,false,5657.1771276
WATERMELON,confidence_aware,100,4,10,3,2,0.6666666666666666,true,false,5657.1771276
WATERMELON,confidence_aware,100,5,10,3,3,1,true,false,5657.1771276
WATERMELON,confidence_aware,100,6,10,3,3,1,true,false,5657.1771276
WATERMELON,confidence_aware,100,7,10,3,3,1,true,false,5657.1771276
WATERMELON,confidence_aware,100,8,10,3,3,1,true,false,5657.1771276
WATERMELON,hybrid_regular_cheap,100,4,10,3,2,0.6666666666666666,true,false,5657.1771276
WATERMELON,hybrid_regular_cheap,100,5,10,3,3,1,true,false,5657.1771276
WATERMELON,hybrid_regular_cheap,100,6,10,3,3,1,true,false,5657.1771276
WATERMELON,hybrid_regular_cheap,100,7,10,3,3,1,true,false,5657.1771276
WATERMELON,hybrid_regular_cheap,100,8,10,3,3,1,true,false,5657.1771276
WATERMELON,low_mean,150,4,10,3,3,1,true,false,8485.7656914
WATERMELON,low_mean,150,5,10,3,3,1,true,false,8485.7656914
WATERMELON,low_mean,150,6,10,3,3,1,true,false,8485.7656914
WATERMELON,low_mean,150,7,10,3,3,1,true,false,8485.7656914
WATERMELON,low_mean,150,8,10,3,3,1,true,false,8485.7656914
WATERMELON,low_median,150,4,10,3,2,0.6666666666666666,false,false,8485.7656914
WATERMELON,low_median,150,5,10,3,3,1,true,false,8485.7656914
WATERMELON,low_median,150,6,10,3,3,1,true,false,8485.7656914
WATERMELON,low_median,150,7,10,3,3,1,true,false,8485.7656914
WATERMELON,low_median,150,8,10,3,3,1,true,false,8485.7656914
WATERMELON,low_gold,150,4,10,3,1,0.3333333333333333,false,false,8485.7656914
WATERMELON,low_gold,150,5,10,3,2,0.6666666666666666,false,false,8485.7656914
WATERMELON,low_gold,150,6,10,3,2,0.6666666666666666,false,false,8485.7656914
WATERMELON,low_gold,150,7,10,3,2,0.6666666666666666,false,false,8485.7656914
