answer,regular_only_candidate,strong_final_candidate,changed,regular_mean_before,regular_mean_after,strong_mean_before,strong_mean_after,skill_gap_before,skill_gap_after,strong_runtime_ms
WATERMELON,8d07396f,ec9bd61e,true,82.384,82.842,82.842,90.444,7.602000000000004,7.602000000000004,4719.640401
OSCILLATED,41f4a698,aadc17a1,true,81.944,82.908,82.908,92.556,9.647999999999996,9.647999999999996,5310.154733
ABANDONING,58d2eebe,c66010f,true,82.632,84.626,84.626,93.1,8.47399999999999,8.47399999999999,5043.064704
ABSOLUTELY,3c8c05b2,e8d1b460,true,82.69,84.962,84.962,92.524,7.561999999999998,7.561999999999998,4849.087041
ACCESSIBLE,acdfe13a,6037a645,true,83.612,83.978,83.978,89.504,5.5260000000000105,5.5260000000000105,4660.405718
ACCOUNTING,a060de06,6331b2d5,true,82.58,83.482,83.482,91.9,8.418000000000006,8.418000000000006,4825.285548
ADVENTURES,7e10135e,d5ba83af,true,83.752,83.982,83.982,92.78,8.798000000000002,8.798000000000002,4818.905891
AGGRAVATED,359bef23,df590eb4,true,81.92,83.062,83.062,90.076,7.013999999999996,7.013999999999996,4699.67024
AFTERTASTE,eaad1e51,3ef83e52,true,82.98,83.132,83.132,92.452,9.319999999999993,9.319999999999993,5006.932267
AFFORDABLE,9754f439,9754f439,false,84.238,84.238,84.238,92.044,7.805999999999997,7.805999999999997,5009.680953
ABATEMENTS,acfba26d,a18a5566,true,83.172,83.472,83.472,90.1,6.628,6.628,4765.523327
ABDICATING,1a2cbe10,40859e2e,true,83.872,84.304,84.304,92.56,8.256,8.256,5011.576002
ABDUCTIONS,d474a71a,7c00ada5,true,82.63,84.34,84.34,92.928,8.587999999999994,8.587999999999994,4780.675743
ABHORRENCE,63fc590e,63fc590e,false,81.87,81.87,81.87,91.096,9.225999999999999,9.225999999999999,4694.317406
ABOLISHING,46d61ad3,85061c06,true,82.948,84.21,84.21,90.804,6.594000000000008,6.594000000000008,4738.129929
ABROGATING,99f11e4e,be06ab9f,true,81.858,82.982,82.982,90.712,7.730000000000004,7.730000000000004,4902.765608
ABSOLUTISM,438a008f,ee2afc45,true,81.646,82.986,82.986,89.796,6.810000000000002,6.810000000000002,4915.493471
ABSOLUTIST,f369217f,d40260b3,true,81.542,82.24,82.24,91.256,9.016000000000005,9.016000000000005,4925.476617
ABSORPTION,46ed8aa3,21d11dd1,true,83.074,83.434,83.434,92.888,9.454000000000008,9.454000000000008,4656.035587
ABSTAINING,23c24b3f,25484a39,true,81.948,84.98,84.98,92.284,7.304000000000002,7.304000000000002,4857.661116
ABSTENTION,188e3274,68042187,true,83.37,83.608,83.608,92.116,8.507999999999996,8.507999999999996,5066.963518
ABSTINENCE,8744fe01,8744fe01,false,80.804,80.804,80.804,88.5,7.695999999999998,7.695999999999998,4790.018994
ABYSSINIAN,c4ffadfa,502ecfa0,true,82.532,83.938,83.938,92.484,8.545999999999992,8.545999999999992,4874.505811
ACCELERANT,547ebda4,547ebda4,false,81.076,81.076,81.076,90.052,8.976000000000013,8.976000000000013,5034.207318
ACCEPTABLE,a8c2dc9,63c707a7,true,81.79,83.308,83.308,90.716,7.407999999999987,7.407999999999987,4799.830508
ACCIDENTAL,8bc152ff,8500a698,true,82.018,81.866,81.866,87.844,5.977999999999994,5.977999999999994,5109.708777
ACCLAIMING,c91b8096,c1bedbf4,true,82.308,84.052,84.052,94.788,10.73599999999999,10.73599999999999,5013.58496
ACCLIMATED,2614be90,d254dee2,true,80.776,81.958,81.958,90.884,8.926000000000002,8.926000000000002,4608.951333
ACCORDIONS,a2c19dda,e01921d1,true,83.698,83.992,83.992,93.068,9.075999999999993,9.075999999999993,4631.81648
ACCOUNTANT,663bccc8,14328247,true,81.796,83.65,83.65,95.408,11.757999999999996,11.757999999999996,4952.422634
