answer,low_runs,shortlist_size,winner_retained,method
WATERMELON,25,5,true,low_mean
WATERMELON,50,5,true,low_mean
WATERMELON,75,5,true,low_mean
WATERMELON,100,5,true,low_mean
WATERMELON,150,5,true,low_mean
WATERMELON,250,5,true,low_mean
OSCILLATED,25,5,false,low_mean
OSCILLATED,50,5,true,low_mean
OSCILLATED,75,5,false,low_mean
OSCILLATED,100,5,true,low_mean
OSCILLATED,150,5,true,low_mean
OSCILLATED,250,5,false,low_mean
ABANDONING,25,5,false,low_mean
ABANDONING,50,5,false,low_mean
ABANDONING,75,5,false,low_mean
ABANDONING,100,5,false,low_mean
ABANDONING,150,5,true,low_mean
ABANDONING,250,5,true,low_mean
ABSOLUTELY,25,5,true,low_mean
ABSOLUTELY,50,5,true,low_mean
ABSOLUTELY,75,5,false,low_mean
ABSOLUTELY,100,5,false,low_mean
ABSOLUTELY,150,5,true,low_mean
ABSOLUTELY,250,5,true,low_mean
ACCESSIBLE,25,5,false,low_mean
ACCESSIBLE,50,5,false,low_mean
ACCESSIBLE,75,5,false,low_mean
ACCESSIBLE,100,5,true,low_mean
ACCESSIBLE,150,5,true,low_mean
ACCESSIBLE,250,5,true,low_mean
ACCOUNTING,25,5,false,low_mean
ACCOUNTING,50,5,true,low_mean
ACCOUNTING,75,5,false,low_mean
ACCOUNTING,100,5,false,low_mean
ACCOUNTING,150,5,false,low_mean
ACCOUNTING,250,5,true,low_mean
ADVENTURES,25,5,false,low_mean
ADVENTURES,50,5,true,low_mean
ADVENTURES,75,5,true,low_mean
ADVENTURES,100,5,true,low_mean
ADVENTURES,150,5,true,low_mean
ADVENTURES,250,5,true,low_mean
AGGRAVATED,25,5,false,low_mean
AGGRAVATED,50,5,false,low_mean
AGGRAVATED,75,5,false,low_mean
AGGRAVATED,100,5,true,low_mean
AGGRAVATED,150,5,true,low_mean
AGGRAVATED,250,5,true,low_mean
AFTERTASTE,25,5,true,low_mean
AFTERTASTE,50,5,true,low_mean
AFTERTASTE,75,5,true,low_mean
AFTERTASTE,100,5,true,low_mean
AFTERTASTE,150,5,true,low_mean
AFTERTASTE,250,5,true,low_mean
AFFORDABLE,25,5,true,low_mean
AFFORDABLE,50,5,true,low_mean
AFFORDABLE,75,5,true,low_mean
AFFORDABLE,100,5,true,low_mean
AFFORDABLE,150,5,true,low_mean
AFFORDABLE,250,5,true,low_mean
ABATEMENTS,25,5,true,low_mean
ABATEMENTS,50,5,true,low_mean
ABATEMENTS,75,5,true,low_mean
ABATEMENTS,100,5,true,low_mean
ABATEMENTS,150,5,true,low_mean
ABATEMENTS,250,5,true,low_mean
ABDICATING,25,5,false,low_mean
ABDICATING,50,5,true,low_mean
ABDICATING,75,5,false,low_mean
ABDICATING,100,5,false,low_mean
ABDICATING,150,5,false,low_mean
ABDICATING,250,5,true,low_mean
ABDUCTIONS,25,5,false,low_mean
ABDUCTIONS,50,5,false,low_mean
ABDUCTIONS,75,5,true,low_mean
ABDUCTIONS,100,5,true,low_mean
ABDUCTIONS,150,5,true,low_mean
ABDUCTIONS,250,5,true,low_mean
ABHORRENCE,25,5,true,low_mean
ABHORRENCE,50,5,true,low_mean
ABHORRENCE,75,5,true,low_mean
ABHORRENCE,100,5,true,low_mean
ABHORRENCE,150,5,true,low_mean
ABHORRENCE,250,5,true,low_mean
ABOLISHING,25,5,true,low_mean
ABOLISHING,50,5,true,low_mean
ABOLISHING,75,5,true,low_mean
ABOLISHING,100,5,true,low_mean
ABOLISHING,150,5,true,low_mean
ABOLISHING,250,5,true,low_mean
ABROGATING,25,5,false,low_mean
ABROGATING,50,5,true,low_mean
ABROGATING,75,5,true,low_mean
ABROGATING,100,5,true,low_mean
ABROGATING,150,5,true,low_mean
ABROGATING,250,5,true,low_mean
ABSOLUTISM,25,5,true,low_mean
ABSOLUTISM,50,5,true,low_mean
ABSOLUTISM,75,5,true,low_mean
ABSOLUTISM,100,5,true,low_mean
ABSOLUTISM,150,5,true,low_mean
ABSOLUTISM,250,5,true,low_mean
ABSOLUTIST,25,5,false,low_mean
ABSOLUTIST,50,5,true,low_mean
ABSOLUTIST,75,5,true,low_mean
ABSOLUTIST,100,5,true,low_mean
ABSOLUTIST,150,5,true,low_mean
ABSOLUTIST,250,5,true,low_mean
ABSORPTION,25,5,true,low_mean
ABSORPTION,50,5,true,low_mean
ABSORPTION,75,5,true,low_mean
ABSORPTION,100,5,true,low_mean
ABSORPTION,150,5,true,low_mean
ABSORPTION,250,5,true,low_mean
ABSTAINING,25,5,true,low_mean
ABSTAINING,50,5,false,low_mean
ABSTAINING,75,5,false,low_mean
ABSTAINING,100,5,false,low_mean
ABSTAINING,150,5,true,low_mean
ABSTAINING,250,5,true,low_mean
ABSTENTION,25,5,false,low_mean
ABSTENTION,50,5,false,low_mean
ABSTENTION,75,5,false,low_mean
ABSTENTION,100,5,true,low_mean
ABSTENTION,150,5,true,low_mean
ABSTENTION,250,5,false,low_mean
ABSTINENCE,25,5,false,low_mean
ABSTINENCE,50,5,true,low_mean
ABSTINENCE,75,5,true,low_mean
ABSTINENCE,100,5,true,low_mean
ABSTINENCE,150,5,true,low_mean
ABSTINENCE,250,5,true,low_mean
ABYSSINIAN,25,5,false,low_mean
ABYSSINIAN,50,5,true,low_mean
ABYSSINIAN,75,5,true,low_mean
ABYSSINIAN,100,5,true,low_mean
ABYSSINIAN,150,5,true,low_mean
ABYSSINIAN,250,5,true,low_mean
ACCELERANT,25,5,true,low_mean
ACCELERANT,50,5,true,low_mean
ACCELERANT,75,5,true,low_mean
ACCELERANT,100,5,true,low_mean
ACCELERANT,150,5,true,low_mean
ACCELERANT,250,5,true,low_mean
ACCEPTABLE,25,5,true,low_mean
ACCEPTABLE,50,5,true,low_mean
ACCEPTABLE,75,5,true,low_mean
ACCEPTABLE,100,5,true,low_mean
ACCEPTABLE,150,5,true,low_mean
ACCEPTABLE,250,5,true,low_mean
ACCIDENTAL,25,5,true,low_mean
ACCIDENTAL,50,5,true,low_mean
ACCIDENTAL,75,5,false,low_mean
ACCIDENTAL,100,5,true,low_mean
ACCIDENTAL,150,5,true,low_mean
ACCIDENTAL,250,5,true,low_mean
ACCLAIMING,25,5,true,low_mean
ACCLAIMING,50,5,false,low_mean
ACCLAIMING,75,5,false,low_mean
ACCLAIMING,100,5,true,low_mean
ACCLAIMING,150,5,true,low_mean
ACCLAIMING,250,5,true,low_mean
ACCLIMATED,25,5,true,low_mean
ACCLIMATED,50,5,false,low_mean
ACCLIMATED,75,5,true,low_mean
ACCLIMATED,100,5,false,low_mean
ACCLIMATED,150,5,true,low_mean
ACCLIMATED,250,5,true,low_mean
ACCORDIONS,25,5,true,low_mean
ACCORDIONS,50,5,false,low_mean
ACCORDIONS,75,5,true,low_mean
ACCORDIONS,100,5,false,low_mean
ACCORDIONS,150,5,true,low_mean
ACCORDIONS,250,5,true,low_mean
ACCOUNTANT,25,5,false,low_mean
ACCOUNTANT,50,5,true,low_mean
ACCOUNTANT,75,5,true,low_mean
ACCOUNTANT,100,5,false,low_mean
ACCOUNTANT,150,5,true,low_mean
ACCOUNTANT,250,5,true,low_mean
